"Time","data1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","data1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","data1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","data1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","data1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","data1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","data1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","gateway1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","gateway1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker3 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker3 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker3 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker3 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (digital_ocean) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (digital_ocean) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (digital_ocean) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker4 (digital_ocean) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker4 (digital_ocean) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker4 (digital_ocean) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker6 (hyperstacks) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (hyperstacks) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (hyperstacks) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker6 (hyperstacks) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker6 (hyperstacks) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker6 (hyperstacks) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-05 18:50:00,19.9 ms,98.1 ms,14.8 ms,111 ms,1.29 ms,0.435 ms,0.766 ms,22.7 ms,98.8 ms,14.4 ms,110 ms,1.34 ms,0.529 ms,0.808 ms,24.1 ms,98.5 ms,15.0 ms,136 ms,1.20 ms,1.18 ms,1.91 ms,22.9 ms,97.7 ms,14.1 ms,108 ms,1.06 ms,0.447 ms,0.775 ms,109 ms,37.5 ms,24.2 ms,19.8 ms,22.8 ms,23.2 ms,37.2 ms,97.9 ms,15.0 ms,15.4 ms,14.4 ms,14.3 ms,109 ms,97.7 ms,98.6 ms,97.8 ms,97.7 ms,98.7 ms
2026-01-05 18:52:00,18.8 ms,97.9 ms,14.4 ms,111 ms,1.22 ms,0.386 ms,0.916 ms,22.9 ms,98.7 ms,14.2 ms,110 ms,1.40 ms,0.484 ms,0.894 ms,24.0 ms,98.6 ms,15.0 ms,136 ms,1.25 ms,0.993 ms,9.93 ms,23.1 ms,97.9 ms,13.9 ms,108 ms,1.09 ms,0.406 ms,0.798 ms,109 ms,37.2 ms,24.0 ms,18.7 ms,23.1 ms,22.8 ms,37.2 ms,97.7 ms,14.9 ms,15.7 ms,14.2 ms,14.2 ms,109 ms,121 ms,98.6 ms,97.8 ms,97.8 ms,98.7 ms
2026-01-05 18:54:00,19.4 ms,97.8 ms,14.7 ms,111 ms,1.45 ms,0.589 ms,0.890 ms,22.6 ms,98.8 ms,14.3 ms,110 ms,1.41 ms,0.703 ms,0.912 ms,24.0 ms,98.6 ms,14.8 ms,136 ms,1.28 ms,1.14 ms,3.19 ms,23.1 ms,97.7 ms,15.4 ms,108 ms,1.08 ms,0.416 ms,0.740 ms,109 ms,37.2 ms,24.0 ms,1.77 s,22.9 ms,22.8 ms,37.2 ms,101 ms,15.1 ms,14.2 ms,15.5 ms,14.5 ms,109 ms,97.8 ms,98.5 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-05 18:56:00,18.8 ms,97.8 ms,16.2 ms,111 ms,1.33 ms,0.511 ms,0.763 ms,22.7 ms,98.8 ms,14.4 ms,110 ms,1.35 ms,0.640 ms,0.713 ms,23.9 ms,98.6 ms,15.4 ms,136 ms,1.16 ms,1.03 ms,1.29 ms,23.1 ms,97.7 ms,14.1 ms,108 ms,1.07 ms,0.579 ms,0.742 ms,109 ms,37.0 ms,24.2 ms,18.9 ms,23.2 ms,22.8 ms,37.0 ms,98.4 ms,15.0 ms,14.2 ms,14.2 ms,14.4 ms,109 ms,97.8 ms,98.7 ms,97.8 ms,97.8 ms,98.7 ms
2026-01-05 18:58:00,18.7 ms,97.8 ms,14.4 ms,111 ms,1.09 ms,0.607 ms,0.838 ms,22.6 ms,98.8 ms,14.5 ms,110 ms,1.32 ms,0.681 ms,0.679 ms,24.1 ms,98.7 ms,14.9 ms,136 ms,1.30 ms,1.02 ms,1.32 ms,23.0 ms,97.8 ms,14.0 ms,108 ms,1.04 ms,0.398 ms,0.740 ms,109 ms,37.3 ms,24.0 ms,281 ms,23.0 ms,22.9 ms,37.0 ms,97.9 ms,15.0 ms,14.3 ms,14.3 ms,14.3 ms,109 ms,97.7 ms,98.6 ms,97.9 ms,98.1 ms,98.7 ms
2026-01-05 19:00:00,20.6 ms,97.8 ms,15.3 ms,111 ms,1.01 ms,0.395 ms,0.756 ms,22.6 ms,98.8 ms,14.8 ms,110 ms,1.72 ms,0.841 ms,0.708 ms,24.2 ms,98.5 ms,15.2 ms,136 ms,5.38 ms,1.02 ms,1.37 ms,22.9 ms,97.7 ms,14.0 ms,108 ms,1.09 ms,0.433 ms,0.937 ms,109 ms,37.3 ms,24.0 ms,20.7 ms,22.9 ms,22.7 ms,37.0 ms,97.8 ms,14.8 ms,15.3 ms,14.1 ms,14.2 ms,109 ms,97.7 ms,98.7 ms,97.9 ms,97.8 ms,98.8 ms
2026-01-05 19:02:00,20.2 ms,97.8 ms,14.2 ms,111 ms,1.21 ms,0.447 ms,0.655 ms,22.7 ms,98.7 ms,14.2 ms,110 ms,1.36 ms,0.724 ms,0.732 ms,23.9 ms,98.5 ms,15.2 ms,136 ms,1.08 ms,1.13 ms,1.53 ms,23.0 ms,97.7 ms,14.8 ms,108 ms,1.20 ms,0.403 ms,0.703 ms,109 ms,37.3 ms,23.8 ms,20.2 ms,22.8 ms,22.7 ms,37.3 ms,97.9 ms,15.4 ms,14.1 ms,14.6 ms,14.5 ms,109 ms,98.1 ms,99.2 ms,97.8 ms,97.9 ms,98.7 ms
2026-01-05 19:04:00,18.9 ms,97.8 ms,14.6 ms,111 ms,1.13 ms,0.468 ms,0.649 ms,22.7 ms,98.7 ms,14.3 ms,110 ms,1.35 ms,0.553 ms,0.717 ms,24.4 ms,98.7 ms,15.0 ms,136 ms,1.56 ms,1.57 ms,1.44 ms,23.1 ms,97.7 ms,14.3 ms,108 ms,1.03 ms,0.503 ms,0.816 ms,109 ms,37.4 ms,24.0 ms,18.8 ms,22.9 ms,22.8 ms,37.7 ms,98.2 ms,14.8 ms,14.6 ms,14.6 ms,14.3 ms,109 ms,98.1 ms,98.8 ms,97.8 ms,97.8 ms,98.7 ms
2026-01-05 19:06:00,19.0 ms,97.8 ms,16.7 ms,111 ms,2.51 ms,0.341 ms,1.02 ms,22.7 ms,98.7 ms,14.2 ms,110 ms,1.47 ms,0.543 ms,0.577 ms,23.9 ms,98.8 ms,15.7 ms,136 ms,15.1 ms,1.29 ms,1.52 ms,23.0 ms,97.7 ms,14.0 ms,108 ms,1.17 ms,0.409 ms,0.713 ms,109 ms,37.1 ms,23.9 ms,19.0 ms,23.0 ms,22.8 ms,36.9 ms,97.8 ms,15.0 ms,15.9 ms,14.1 ms,15.0 ms,110 ms,97.8 ms,98.7 ms,97.8 ms,97.7 ms,98.7 ms
2026-01-05 19:08:00,19.4 ms,97.8 ms,14.9 ms,111 ms,1.02 ms,0.636 ms,0.760 ms,22.7 ms,98.7 ms,14.4 ms,110 ms,1.54 ms,0.560 ms,0.661 ms,24.0 ms,98.6 ms,14.9 ms,136 ms,1.35 ms,1.08 ms,1.50 ms,23.1 ms,97.7 ms,14.1 ms,108 ms,1.00 ms,0.443 ms,0.759 ms,109 ms,37.1 ms,23.9 ms,1.01 s,22.9 ms,22.7 ms,37.0 ms,97.8 ms,14.8 ms,16.6 ms,14.0 ms,14.2 ms,109 ms,97.8 ms,98.6 ms,97.8 ms,97.7 ms,98.7 ms
2026-01-05 19:10:00,18.9 ms,97.8 ms,14.4 ms,111 ms,1.01 ms,0.640 ms,0.793 ms,22.7 ms,98.8 ms,14.3 ms,110 ms,1.71 ms,0.550 ms,0.667 ms,24.0 ms,98.8 ms,14.8 ms,136 ms,1.15 ms,1.01 ms,1.38 ms,23.1 ms,97.7 ms,14.1 ms,108 ms,1.29 ms,0.377 ms,0.735 ms,109 ms,37.1 ms,23.8 ms,18.9 ms,23.0 ms,22.7 ms,37.0 ms,131 ms,15.0 ms,14.9 ms,14.1 ms,14.7 ms,109 ms,98.0 ms,98.7 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-05 19:12:00,18.9 ms,97.8 ms,14.3 ms,111 ms,1.32 ms,0.609 ms,0.695 ms,22.6 ms,98.8 ms,14.4 ms,110 ms,1.43 ms,0.616 ms,0.790 ms,23.9 ms,98.6 ms,45.2 ms,136 ms,1.93 ms,1.10 ms,1.38 ms,23.0 ms,97.7 ms,14.2 ms,108 ms,1.14 ms,0.518 ms,0.852 ms,109 ms,37.2 ms,23.8 ms,18.9 ms,23.2 ms,22.8 ms,40.4 ms,99.7 ms,15.1 ms,14.5 ms,13.8 ms,14.4 ms,109 ms,98.4 ms,98.6 ms,97.9 ms,97.9 ms,98.8 ms
2026-01-05 19:14:00,20.2 ms,97.8 ms,15.1 ms,111 ms,1.98 ms,0.635 ms,0.956 ms,22.7 ms,98.7 ms,14.6 ms,110 ms,1.42 ms,0.872 ms,0.705 ms,23.9 ms,98.6 ms,14.9 ms,136 ms,1.10 ms,1.11 ms,1.26 ms,23.1 ms,97.7 ms,14.1 ms,108 ms,1.44 ms,0.475 ms,0.667 ms,109 ms,37.3 ms,23.9 ms,3.09 s,23.1 ms,22.7 ms,37.4 ms,97.7 ms,15.0 ms,15.4 ms,14.0 ms,14.3 ms,109 ms,98.0 ms,99.1 ms,97.8 ms,97.9 ms,98.8 ms
2026-01-05 19:16:00,19.1 ms,97.8 ms,14.3 ms,111 ms,1.66 ms,0.638 ms,0.705 ms,22.7 ms,98.8 ms,14.7 ms,110 ms,1.42 ms,0.522 ms,0.684 ms,23.8 ms,98.6 ms,15.4 ms,136 ms,2.17 ms,1.40 ms,1.41 ms,23.1 ms,97.8 ms,14.9 ms,108 ms,1.09 ms,0.521 ms,0.938 ms,109 ms,37.1 ms,23.8 ms,20.4 ms,23.3 ms,22.6 ms,37.1 ms,97.7 ms,15.4 ms,14.6 ms,15.0 ms,14.3 ms,109 ms,98.8 ms,98.6 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-05 19:18:00,19.0 ms,98.0 ms,14.4 ms,111 ms,1.35 ms,0.442 ms,0.724 ms,22.7 ms,98.8 ms,17.7 ms,110 ms,1.37 ms,0.618 ms,0.829 ms,24.9 ms,98.6 ms,14.9 ms,136 ms,1.10 ms,1.08 ms,1.33 ms,23.0 ms,97.8 ms,14.2 ms,108 ms,1.11 ms,0.643 ms,0.927 ms,109 ms,37.0 ms,23.9 ms,19.1 ms,23.1 ms,22.7 ms,37.4 ms,121 ms,14.9 ms,15.0 ms,13.8 ms,14.6 ms,109 ms,97.7 ms,98.5 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-05 19:20:00,19.2 ms,97.8 ms,14.1 ms,111 ms,1.03 ms,0.368 ms,0.693 ms,22.8 ms,98.8 ms,14.4 ms,110 ms,1.44 ms,0.837 ms,0.623 ms,23.9 ms,98.6 ms,15.0 ms,136 ms,1.03 ms,1.11 ms,1.65 ms,23.0 ms,97.7 ms,14.1 ms,108 ms,1.14 ms,0.398 ms,0.720 ms,109 ms,37.0 ms,23.9 ms,19.3 ms,23.0 ms,22.8 ms,37.4 ms,98.0 ms,15.1 ms,14.3 ms,14.1 ms,14.4 ms,109 ms,97.9 ms,105 ms,97.8 ms,97.7 ms,98.7 ms
