"Time","db462338-c776-4d76-a31e-91c195592a51"
2026-01-05 23:34:00,7.57 s
2026-01-05 23:36:00,7.39 s
2026-01-05 23:38:00,6.94 s
2026-01-05 23:40:00,10.8 s
2026-01-05 23:42:00,8.28 s
2026-01-05 23:44:00,7.94 s
2026-01-05 23:46:00,6.91 s
2026-01-05 23:48:00,8.62 s
2026-01-05 23:50:00,9.36 s
2026-01-05 23:52:00,8.65 s
2026-01-05 23:54:00,9.47 s
2026-01-05 23:56:00,7.04 s
2026-01-05 23:58:00,8.45 s
2026-01-06 00:00:00,8.07 s
2026-01-06 00:02:00,6.66 s
2026-01-06 00:04:00,7.78 s
2026-01-06 00:06:00,7.04 s
2026-01-06 00:08:00,9.17 s
2026-01-06 00:10:00,7.37 s
2026-01-06 00:12:00,9.61 s
2026-01-06 00:14:00,9.58 s
2026-01-06 00:16:00,8.43 s
2026-01-06 00:18:00,8.88 s
2026-01-06 00:20:00,12.0 s
2026-01-06 00:22:00,7.28 s
2026-01-06 00:24:00,8.79 s
2026-01-06 00:26:00,48.7 s
2026-01-06 00:28:00,9.47 s
2026-01-06 00:30:00,14.0 s
2026-01-06 00:32:00,8.07 s
2026-01-06 00:34:00,6.12 s
2026-01-06 00:36:00,7.64 s
2026-01-06 00:38:00,6.91 s
2026-01-06 00:40:00,6.53 s
2026-01-06 00:42:00,7.74 s
2026-01-06 00:44:00,7.48 s
2026-01-06 00:46:00,9.12 s
2026-01-06 00:48:00,6.15 s
2026-01-06 00:50:00,20.0 s
2026-01-06 00:52:00,30.6 s
2026-01-06 00:54:00,55.2 s
2026-01-06 00:56:00,34.0 s
2026-01-06 00:58:00,21.7 s
2026-01-06 01:00:00,35.0 s
2026-01-06 01:02:00,30.3 s
2026-01-06 01:04:00,22.1 s
2026-01-06 01:06:00,15.2 s
2026-01-06 01:08:00,12.4 s
2026-01-06 01:10:00,7.72 s
2026-01-06 01:12:00,6.20 s
2026-01-06 01:14:00,7.30 s
2026-01-06 01:16:00,9.85 s
2026-01-06 01:18:00,10.6 s
2026-01-06 01:20:00,8.21 s
2026-01-06 01:22:00,8.39 s
2026-01-06 01:24:00,6.81 s
2026-01-06 01:26:00,13.3 s
2026-01-06 01:28:00,6.00 s
2026-01-06 01:30:00,9.85 s
2026-01-06 01:32:00,6.79 s
2026-01-06 01:34:00,6.24 s
2026-01-06 01:36:00,8.72 s
2026-01-06 01:38:00,16.2 s
2026-01-06 01:40:00,7.04 s
2026-01-06 01:42:00,11.7 s
2026-01-06 01:44:00,7.22 s
2026-01-06 01:46:00,6.15 s
2026-01-06 01:48:00,29.8 s
2026-01-06 01:50:00,25.4 s
2026-01-06 01:52:00,6.42 s
2026-01-06 01:54:00,7.55 s
2026-01-06 01:56:00,8.86 s
2026-01-06 01:58:00,5.65 s
2026-01-06 02:00:00,5.60 s
2026-01-06 02:02:00,37.6 s
2026-01-06 02:04:00,47.9 s
2026-01-06 02:06:00,23.2 s
2026-01-06 02:08:00,5.84 s
2026-01-06 02:10:00,33.3 s
2026-01-06 02:12:00,15.8 s
2026-01-06 02:14:00,30.3 s
2026-01-06 02:16:00,5.96 s
2026-01-06 02:18:00,25.7 s
2026-01-06 02:20:00,34.8 s
2026-01-06 02:22:00,26.4 s
2026-01-06 02:24:00,27.9 s
2026-01-06 02:26:00,10.7 s
2026-01-06 02:28:00,13.8 s
2026-01-06 02:30:00,5.84 s
2026-01-06 02:32:00,5.76 s
2026-01-06 02:34:00,5.92 s
2026-01-06 02:36:00,7.39 s
2026-01-06 02:38:00,25.7 s
2026-01-06 02:40:00,26.2 s
2026-01-06 02:42:00,6.38 s
2026-01-06 02:44:00,33.4 s
2026-01-06 02:46:00,48.9 s
2026-01-06 02:48:00,5.75 s
2026-01-06 02:50:00,6.46 s
2026-01-06 02:52:00,5.70 s
2026-01-06 02:54:00,5.89 s
2026-01-06 02:56:00,5.77 s
2026-01-06 02:58:00,5.06 s
2026-01-06 03:00:00,8.74 s
2026-01-06 03:02:00,33.7 s
2026-01-06 03:04:00,19.7 s
2026-01-06 03:06:00,15.7 s
2026-01-06 03:08:00,13.9 s
2026-01-06 03:10:00,5.71 s
2026-01-06 03:12:00,6.36 s
2026-01-06 03:14:00,6.17 s
2026-01-06 03:16:00,5.84 s
2026-01-06 03:18:00,6.24 s
2026-01-06 03:20:00,6.09 s
2026-01-06 03:22:00,19.5 s
2026-01-06 03:24:00,23.7 s
2026-01-06 03:26:00,6.13 s
2026-01-06 03:28:00,5.74 s
2026-01-06 03:30:00,5.67 s
2026-01-06 03:32:00,6.08 s
2026-01-06 03:34:00,6.16 s
2026-01-06 03:36:00,8.44 s
2026-01-06 03:38:00,44.1 s
2026-01-06 03:40:00,53.6 s
2026-01-06 03:42:00,55.2 s
2026-01-06 03:44:00,12.3 s
2026-01-06 03:46:00,9.14 s
2026-01-06 03:48:00,9.31 s
2026-01-06 03:50:00,5.64 s
2026-01-06 03:52:00,6.29 s
2026-01-06 03:54:00,6.44 s
2026-01-06 03:56:00,6.35 s
2026-01-06 03:58:00,5.95 s
2026-01-06 04:00:00,13.1 s
2026-01-06 04:02:00,22.5 s
2026-01-06 04:04:00,5.86 s
2026-01-06 04:06:00,5.73 s
2026-01-06 04:08:00,5.56 s
2026-01-06 04:10:00,6.76 s
2026-01-06 04:12:00,5.50 s
2026-01-06 04:14:00,6.28 s
2026-01-06 04:16:00,6.22 s
2026-01-06 04:18:00,32.7 s
2026-01-06 04:20:00,5.68 s
2026-01-06 04:22:00,5.73 s
2026-01-06 04:24:00,6.24 s
2026-01-06 04:26:00,7.13 s
2026-01-06 04:28:00,8.07 s
2026-01-06 04:30:00,6.69 s
2026-01-06 04:32:00,43.8 s
2026-01-06 04:34:00,16.2 s
2026-01-06 04:36:00,5.61 s
2026-01-06 04:38:00,5.70 s
2026-01-06 04:40:00,5.99 s
2026-01-06 04:42:00,5.81 s
2026-01-06 04:44:00,5.84 s
2026-01-06 04:46:00,5.40 s
2026-01-06 04:48:00,6.16 s
2026-01-06 04:50:00,6.86 s
2026-01-06 04:52:00,5.62 s
2026-01-06 04:54:00,6.68 s
2026-01-06 04:56:00,5.69 s
2026-01-06 04:58:00,5.57 s
2026-01-06 05:00:00,7.31 s
2026-01-06 05:02:00,5.46 s
2026-01-06 05:04:00,5.61 s
2026-01-06 05:06:00,5.82 s
2026-01-06 05:08:00,7.17 s
2026-01-06 05:10:00,6.05 s
2026-01-06 05:12:00,5.90 s
2026-01-06 05:14:00,6.62 s
2026-01-06 05:16:00,6.25 s
2026-01-06 05:18:00,5.88 s
2026-01-06 05:20:00,6.12 s
2026-01-06 05:22:00,5.13 s
2026-01-06 05:24:00,9.81 s
2026-01-06 05:26:00,5.88 s
2026-01-06 05:28:00,6.07 s
2026-01-06 05:30:00,6.03 s
2026-01-06 05:32:00,5.74 s
2026-01-06 05:34:00,5.72 s
2026-01-06 05:36:00,5.93 s
2026-01-06 05:38:00,5.55 s
2026-01-06 05:40:00,5.60 s
2026-01-06 05:42:00,5.57 s
2026-01-06 05:44:00,6.05 s
2026-01-06 05:46:00,7.75 s
2026-01-06 05:48:00,5.22 s
2026-01-06 05:50:00,6.00 s
2026-01-06 05:52:00,8.11 s
2026-01-06 05:54:00,10.5 s
2026-01-06 05:56:00,5.62 s
2026-01-06 05:58:00,5.66 s
2026-01-06 06:00:00,6.09 s
2026-01-06 06:02:00,12.0 s
2026-01-06 06:04:00,5.35 s
2026-01-06 06:06:00,5.78 s
2026-01-06 06:08:00,6.20 s
2026-01-06 06:10:00,8.01 s
2026-01-06 06:12:00,6.59 s
2026-01-06 06:14:00,6.05 s
2026-01-06 06:16:00,5.64 s
2026-01-06 06:18:00,5.64 s
2026-01-06 06:20:00,6.29 s
2026-01-06 06:22:00,6.03 s
2026-01-06 06:24:00,7.40 s
2026-01-06 06:26:00,6.84 s
2026-01-06 06:28:00,5.66 s
2026-01-06 06:30:00,5.68 s
2026-01-06 06:32:00,6.94 s
2026-01-06 06:34:00,5.92 s
2026-01-06 06:36:00,9.41 s
2026-01-06 06:38:00,6.44 s
2026-01-06 06:40:00,5.45 s
2026-01-06 06:42:00,6.19 s
2026-01-06 06:44:00,6.53 s
2026-01-06 06:46:00,6.29 s
2026-01-06 06:48:00,5.65 s
2026-01-06 06:50:00,7.17 s
2026-01-06 06:52:00,9.06 s
2026-01-06 06:54:00,5.94 s
2026-01-06 06:56:00,5.07 s
2026-01-06 06:58:00,5.50 s
2026-01-06 07:00:00,6.82 s
2026-01-06 07:02:00,5.55 s
2026-01-06 07:04:00,8.00 s
2026-01-06 07:06:00,5.12 s
2026-01-06 07:08:00,6.22 s
2026-01-06 07:10:00,5.89 s
2026-01-06 07:12:00,5.91 s
2026-01-06 07:14:00,5.97 s
2026-01-06 07:16:00,6.41 s
2026-01-06 07:18:00,6.55 s
2026-01-06 07:20:00,5.93 s
2026-01-06 07:22:00,8.34 s
2026-01-06 07:24:00,7.27 s
2026-01-06 07:26:00,5.90 s
2026-01-06 07:28:00,5.61 s
2026-01-06 07:30:00,7.53 s
2026-01-06 07:32:00,6.30 s
2026-01-06 07:34:00,5.95 s
2026-01-06 07:36:00,5.66 s
2026-01-06 07:38:00,10.6 s
2026-01-06 07:40:00,6.75 s
2026-01-06 07:42:00,5.38 s
2026-01-06 07:44:00,7.24 s
2026-01-06 07:46:00,5.90 s
2026-01-06 07:48:00,5.90 s
2026-01-06 07:50:00,5.89 s
2026-01-06 07:52:00,5.68 s
2026-01-06 07:54:00,5.52 s
2026-01-06 07:56:00,5.43 s
2026-01-06 07:58:00,9.81 s
2026-01-06 08:00:00,5.48 s
2026-01-06 08:02:00,5.38 s
2026-01-06 08:04:00,5.83 s
2026-01-06 08:06:00,5.22 s
2026-01-06 08:08:00,5.35 s
2026-01-06 08:10:00,5.71 s
2026-01-06 08:12:00,6.17 s
2026-01-06 08:14:00,6.52 s
2026-01-06 08:16:00,5.43 s
2026-01-06 08:18:00,5.39 s
2026-01-06 08:20:00,5.53 s
2026-01-06 08:22:00,5.70 s
2026-01-06 08:24:00,6.22 s
2026-01-06 08:26:00,6.57 s
2026-01-06 08:28:00,8.04 s
2026-01-06 08:30:00,5.38 s
2026-01-06 08:32:00,5.73 s
2026-01-06 08:34:00,5.17 s
2026-01-06 08:36:00,5.44 s
2026-01-06 08:38:00,6.14 s
2026-01-06 08:40:00,5.73 s
2026-01-06 08:42:00,5.78 s
2026-01-06 08:44:00,5.40 s
2026-01-06 08:46:00,6.54 s
2026-01-06 08:48:00,5.52 s
2026-01-06 08:50:00,6.13 s
2026-01-06 08:52:00,9.29 s
2026-01-06 08:54:00,7.06 s
2026-01-06 08:56:00,7.62 s
2026-01-06 08:58:00,5.82 s
2026-01-06 09:00:00,5.61 s
2026-01-06 09:02:00,8.68 s
2026-01-06 09:04:00,8.16 s
2026-01-06 09:06:00,5.89 s
2026-01-06 09:08:00,5.73 s
2026-01-06 09:10:00,6.42 s
2026-01-06 09:12:00,5.50 s
2026-01-06 09:14:00,5.47 s
2026-01-06 09:16:00,5.83 s
2026-01-06 09:18:00,5.69 s
2026-01-06 09:20:00,5.47 s
2026-01-06 09:22:00,5.69 s
2026-01-06 09:24:00,5.41 s
2026-01-06 09:26:00,5.89 s
2026-01-06 09:28:00,5.72 s
2026-01-06 09:30:00,8.54 s
2026-01-06 09:32:00,13.2 s
2026-01-06 09:34:00,6.42 s
2026-01-06 09:36:00,6.69 s
2026-01-06 09:38:00,5.62 s
2026-01-06 09:40:00,5.73 s
2026-01-06 09:42:00,9.77 s
2026-01-06 09:44:00,6.76 s
2026-01-06 09:46:00,5.63 s
2026-01-06 09:48:00,7.54 s
2026-01-06 09:50:00,5.39 s
2026-01-06 09:52:00,6.29 s
2026-01-06 09:54:00,5.51 s
2026-01-06 09:56:00,5.64 s
2026-01-06 09:58:00,5.71 s
2026-01-06 10:00:00,8.02 s
2026-01-06 10:02:00,6.51 s
2026-01-06 10:04:00,6.47 s
2026-01-06 10:06:00,5.22 s
2026-01-06 10:08:00,5.85 s
2026-01-06 10:10:00,6.15 s
2026-01-06 10:12:00,8.90 s
2026-01-06 10:14:00,6.01 s
2026-01-06 10:16:00,6.38 s
2026-01-06 10:18:00,9.59 s
2026-01-06 10:20:00,6.22 s
2026-01-06 10:22:00,5.54 s
2026-01-06 10:24:00,5.53 s
2026-01-06 10:26:00,6.20 s
2026-01-06 10:28:00,7.01 s
2026-01-06 10:30:00,5.88 s
2026-01-06 10:32:00,8.43 s
2026-01-06 10:34:00,6.22 s
2026-01-06 10:36:00,5.71 s
2026-01-06 10:38:00,5.65 s
2026-01-06 10:40:00,5.83 s
2026-01-06 10:42:00,5.45 s
2026-01-06 10:44:00,5.66 s
2026-01-06 10:46:00,5.63 s
2026-01-06 10:48:00,6.33 s
2026-01-06 10:50:00,6.28 s
2026-01-06 10:52:00,5.90 s
2026-01-06 10:54:00,6.47 s
2026-01-06 10:56:00,6.60 s
2026-01-06 10:58:00,11.8 s
2026-01-06 11:00:00,5.49 s
2026-01-06 11:02:00,9.43 s
2026-01-06 11:04:00,6.34 s
2026-01-06 11:06:00,8.54 s
2026-01-06 11:08:00,5.91 s
2026-01-06 11:10:00,6.60 s
2026-01-06 11:12:00,5.30 s
2026-01-06 11:14:00,4.98 s
2026-01-06 11:16:00,6.39 s
2026-01-06 11:18:00,5.96 s
2026-01-06 11:20:00,6.50 s
2026-01-06 11:22:00,5.87 s
2026-01-06 11:24:00,13.9 s
2026-01-06 11:26:00,10.9 s
2026-01-06 11:28:00,11.0 s
2026-01-06 11:30:00,9.77 s
2026-01-06 11:32:00,7.68 s
2026-01-06 11:34:00,10.8 s
2026-01-06 11:36:00,8.48 s
2026-01-06 11:38:00,13.8 s
2026-01-06 11:40:00,5.55 s
2026-01-06 11:42:00,7.27 s
2026-01-06 11:44:00,6.17 s
2026-01-06 11:46:00,8.29 s
2026-01-06 11:48:00,9.92 s
2026-01-06 11:50:00,5.09 s
2026-01-06 11:52:00,9.87 s
2026-01-06 11:54:00,7.32 s
2026-01-06 11:56:00,6.20 s
2026-01-06 11:58:00,9.35 s
2026-01-06 12:00:00,10.7 s
2026-01-06 12:02:00,5.62 s
2026-01-06 12:04:00,8.20 s
2026-01-06 12:06:00,5.13 s
2026-01-06 12:08:00,7.38 s
2026-01-06 12:10:00,9.42 s
2026-01-06 12:12:00,7.49 s
2026-01-06 12:14:00,12.4 s
2026-01-06 12:16:00,6.91 s
2026-01-06 12:18:00,8.99 s
2026-01-06 12:20:00,7.75 s
2026-01-06 12:22:00,9.24 s
2026-01-06 12:24:00,10.3 s
2026-01-06 12:26:00,12.0 s
2026-01-06 12:28:00,12.9 s
2026-01-06 12:30:00,11.3 s
2026-01-06 12:32:00,8.39 s
2026-01-06 12:34:00,10.4 s
2026-01-06 12:36:00,5.65 s
2026-01-06 12:38:00,10.9 s
2026-01-06 12:40:00,9.28 s
2026-01-06 12:42:00,8.40 s
2026-01-06 12:44:00,5.83 s
2026-01-06 12:46:00,8.58 s
2026-01-06 12:48:00,8.89 s
2026-01-06 12:50:00,6.85 s
2026-01-06 12:52:00,9.29 s
2026-01-06 12:54:00,10.2 s
2026-01-06 12:56:00,8.82 s
2026-01-06 12:58:00,5.48 s
2026-01-06 13:00:00,9.83 s
2026-01-06 13:02:00,16.6 s
2026-01-06 13:04:00,9.33 s
2026-01-06 13:06:00,8.99 s
2026-01-06 13:08:00,9.35 s
2026-01-06 13:10:00,9.89 s
2026-01-06 13:12:00,12.0 s
2026-01-06 13:14:00,8.04 s
2026-01-06 13:16:00,11.4 s
2026-01-06 13:18:00,6.03 s
2026-01-06 13:20:00,5.21 s
2026-01-06 13:22:00,8.60 s
2026-01-06 13:24:00,7.94 s
2026-01-06 13:26:00,8.73 s
2026-01-06 13:28:00,6.64 s
2026-01-06 13:30:00,8.05 s
2026-01-06 13:32:00,7.87 s
2026-01-06 13:34:00,9.07 s
2026-01-06 13:36:00,9.54 s
2026-01-06 13:38:00,10.0 s
2026-01-06 13:40:00,9.60 s
2026-01-06 13:42:00,7.40 s
2026-01-06 13:44:00,5.73 s
2026-01-06 13:46:00,7.54 s
2026-01-06 13:48:00,9.92 s
2026-01-06 13:50:00,9.30 s
2026-01-06 13:52:00,8.62 s
2026-01-06 13:54:00,11.0 s
2026-01-06 13:56:00,7.42 s
2026-01-06 13:58:00,8.00 s
2026-01-06 14:00:00,6.45 s
2026-01-06 14:02:00,6.26 s
2026-01-06 14:04:00,7.90 s
2026-01-06 14:06:00,10.3 s
2026-01-06 14:08:00,15.7 s
2026-01-06 14:10:00,9.04 s
2026-01-06 14:12:00,10.9 s
2026-01-06 14:14:00,9.26 s
2026-01-06 14:16:00,5.29 s
2026-01-06 14:18:00,11.5 s
2026-01-06 14:20:00,8.92 s
2026-01-06 14:22:00,9.24 s
2026-01-06 14:24:00,9.69 s
2026-01-06 14:26:00,10.2 s
2026-01-06 14:28:00,9.81 s
2026-01-06 14:30:00,7.52 s
2026-01-06 14:32:00,9.47 s
2026-01-06 14:34:00,5.35 s
2026-01-06 14:36:00,10.1 s
2026-01-06 14:38:00,10.4 s
2026-01-06 14:40:00,10.2 s
2026-01-06 14:42:00,12.2 s
2026-01-06 14:44:00,11.6 s
2026-01-06 14:46:00,10.1 s
2026-01-06 14:48:00,6.93 s
2026-01-06 14:50:00,5.90 s
2026-01-06 14:52:00,5.44 s
2026-01-06 14:54:00,10.8 s
2026-01-06 14:56:00,11.4 s
2026-01-06 14:58:00,19.6 s
2026-01-06 15:00:00,8.61 s
2026-01-06 15:02:00,11.7 s
2026-01-06 15:04:00,9.63 s
2026-01-06 15:06:00,5.89 s
2026-01-06 15:08:00,6.36 s
2026-01-06 15:10:00,8.30 s
2026-01-06 15:12:00,5.97 s
2026-01-06 15:14:00,10.7 s
2026-01-06 15:16:00,11.9 s
2026-01-06 15:18:00,7.53 s
2026-01-06 15:20:00,7.92 s
2026-01-06 15:22:00,6.23 s
2026-01-06 15:24:00,5.97 s
2026-01-06 15:26:00,8.12 s
2026-01-06 15:28:00,1.43 mins
2026-01-06 15:30:00,1.93 mins
2026-01-06 15:32:00,8.43 s
2026-01-06 15:34:00,5.93 s
2026-01-06 15:36:00,12.6 s
2026-01-06 15:38:00,11.4 s
2026-01-06 15:40:00,5.26 s
2026-01-06 15:42:00,2.10 mins
2026-01-06 15:44:00,5.40 s
2026-01-06 15:46:00,5.71 s
2026-01-06 15:48:00,6.15 s
2026-01-06 15:50:00,5.92 s
2026-01-06 15:52:00,6.26 s
2026-01-06 15:54:00,9.09 s
2026-01-06 15:56:00,1.31 mins
2026-01-06 15:58:00,54.6 s
2026-01-06 16:00:00,1.00 mins
2026-01-06 16:02:00,59.7 s
2026-01-06 16:04:00,53.1 s
2026-01-06 16:06:00,13.6 s
2026-01-06 16:08:00,6.21 s
2026-01-06 16:10:00,7.69 s
2026-01-06 16:12:00,6.57 s
2026-01-06 16:14:00,5.61 s
2026-01-06 16:16:00,6.32 s
2026-01-06 16:18:00,7.02 s
2026-01-06 16:20:00,7.68 s
2026-01-06 16:22:00,5.58 s
2026-01-06 16:24:00,5.79 s
2026-01-06 16:26:00,5.85 s
2026-01-06 16:28:00,5.54 s
2026-01-06 16:30:00,6.74 s
2026-01-06 16:32:00,6.00 s
2026-01-06 16:34:00,3.36 mins
2026-01-06 16:36:00,1.33 mins
2026-01-06 16:38:00,48.8 s
2026-01-06 16:40:00,5.79 s
2026-01-06 16:42:00,5.30 s
2026-01-06 16:44:00,7.97 s
2026-01-06 16:46:00,5.47 s
2026-01-06 16:48:00,5.96 s
2026-01-06 16:50:00,6.11 s
2026-01-06 16:52:00,16.7 s
2026-01-06 16:54:00,20.3 s
2026-01-06 16:56:00,15.9 s
2026-01-06 16:58:00,5.79 s
2026-01-06 17:00:00,5.68 s
2026-01-06 17:02:00,5.84 s
2026-01-06 17:04:00,5.75 s
2026-01-06 17:06:00,5.64 s
2026-01-06 17:08:00,5.93 s
2026-01-06 17:10:00,5.90 s
2026-01-06 17:12:00,5.65 s
2026-01-06 17:14:00,5.68 s
2026-01-06 17:16:00,6.49 s
2026-01-06 17:18:00,5.65 s
2026-01-06 17:20:00,5.42 s
2026-01-06 17:22:00,8.30 s
2026-01-06 17:24:00,5.35 s
2026-01-06 17:26:00,9.23 s
2026-01-06 17:28:00,9.53 s
2026-01-06 17:30:00,10.9 s
2026-01-06 17:32:00,10.6 s
2026-01-06 17:34:00,7.50 s
2026-01-06 17:36:00,10.1 s
2026-01-06 17:38:00,11.1 s
2026-01-06 17:40:00,8.43 s
2026-01-06 17:42:00,7.19 s
2026-01-06 17:44:00,14.0 s
2026-01-06 17:46:00,5.48 s
2026-01-06 17:48:00,11.3 s
2026-01-06 17:50:00,10.4 s
2026-01-06 17:52:00,9.78 s
2026-01-06 17:54:00,7.94 s
2026-01-06 17:56:00,8.52 s
2026-01-06 17:58:00,13.7 s
2026-01-06 18:00:00,7.54 s
2026-01-06 18:02:00,9.53 s
2026-01-06 18:04:00,8.11 s
2026-01-06 18:06:00,6.61 s
2026-01-06 18:08:00,9.18 s
2026-01-06 18:10:00,7.85 s
2026-01-06 18:12:00,5.95 s
2026-01-06 18:14:00,7.98 s
2026-01-06 18:16:00,5.84 s
2026-01-06 18:18:00,8.95 s
2026-01-06 18:20:00,9.74 s
2026-01-06 18:22:00,5.81 s
2026-01-06 18:24:00,9.07 s
2026-01-06 18:26:00,7.60 s
2026-01-06 18:28:00,5.74 s
2026-01-06 18:30:00,8.69 s
2026-01-06 18:32:00,12.3 s
2026-01-06 18:34:00,15.0 s
2026-01-06 18:36:00,8.88 s
2026-01-06 18:38:00,5.42 s
2026-01-06 18:40:00,11.4 s
2026-01-06 18:42:00,7.43 s
2026-01-06 18:44:00,8.97 s
2026-01-06 18:46:00,9.06 s
2026-01-06 18:48:00,8.12 s
2026-01-06 18:50:00,13.2 s
2026-01-06 18:52:00,8.22 s
2026-01-06 18:54:00,6.22 s
2026-01-06 18:56:00,7.15 s
2026-01-06 18:58:00,8.94 s
2026-01-06 19:00:00,10.2 s
2026-01-06 19:02:00,11.1 s
2026-01-06 19:04:00,8.49 s
2026-01-06 19:06:00,9.51 s
2026-01-06 19:08:00,9.82 s
