"Time","457b1d20-87c4-4a70-a0cb-c1da37d3929e"
2026-01-28 00:18:00,5.17 mins
2026-01-28 00:20:00,5.17 mins
2026-01-28 00:22:00,5.17 mins
2026-01-28 00:24:00,5.16 mins
2026-01-28 00:26:00,5.16 mins
2026-01-28 00:28:00,5.19 mins
2026-01-28 00:30:00,5.19 mins
2026-01-28 00:32:00,5.19 mins
2026-01-28 00:34:00,4.99 mins
2026-01-28 00:36:00,4.99 mins
2026-01-28 00:38:00,4.99 mins
2026-01-28 00:40:00,5.02 mins
2026-01-28 00:42:00,5.02 mins
2026-01-28 00:44:00,5.04 mins
2026-01-28 00:46:00,5.04 mins
2026-01-28 00:48:00,5.04 mins
2026-01-28 00:50:00,5.19 mins
2026-01-28 00:52:00,5.19 mins
2026-01-28 00:54:00,5.19 mins
2026-01-28 00:56:00,5.17 mins
2026-01-28 00:58:00,5.17 mins
2026-01-28 01:00:00,5.12 mins
2026-01-28 01:02:00,5.12 mins
2026-01-28 01:04:00,5.12 mins
2026-01-28 01:06:00,5.18 mins
2026-01-28 01:08:00,5.18 mins
2026-01-28 01:10:00,5.18 mins
2026-01-28 01:12:00,5.18 mins
2026-01-28 01:14:00,5.18 mins
2026-01-28 01:16:00,5.18 mins
2026-01-28 01:18:00,4.92 mins
2026-01-28 01:20:00,4.92 mins
2026-01-28 01:22:00,5.01 mins
2026-01-28 01:24:00,5.01 mins
2026-01-28 01:26:00,5.01 mins
2026-01-28 01:28:00,5.18 mins
2026-01-28 01:30:00,5.18 mins
2026-01-28 01:32:00,5.18 mins
2026-01-28 01:34:00,5.21 mins
2026-01-28 01:36:00,5.21 mins
2026-01-28 01:38:00,5.18 mins
2026-01-28 01:40:00,5.18 mins
2026-01-28 01:42:00,5.18 mins
2026-01-28 01:44:00,5.17 mins
2026-01-28 01:46:00,5.17 mins
2026-01-28 01:48:00,5.17 mins
2026-01-28 01:50:00,5.04 mins
2026-01-28 01:52:00,5.04 mins
2026-01-28 01:54:00,5.04 mins
2026-01-28 01:56:00,5.39 mins
2026-01-28 01:58:00,5.39 mins
2026-01-28 02:00:00,5.39 mins
2026-01-28 02:02:00,5.14 mins
2026-01-28 02:04:00,5.14 mins
2026-01-28 02:06:00,5.15 mins
2026-01-28 02:08:00,5.15 mins
2026-01-28 02:10:00,5.15 mins
2026-01-28 02:12:00,5.18 mins
2026-01-28 02:14:00,5.18 mins
2026-01-28 02:16:00,5.18 mins
2026-01-28 02:18:00,5.16 mins
2026-01-28 02:20:00,5.16 mins
2026-01-28 02:22:00,5.15 mins
2026-01-28 02:24:00,5.14 mins
2026-01-28 02:26:00,5.14 mins
2026-01-28 02:28:00,5.04 mins
2026-01-28 02:30:00,5.04 mins
2026-01-28 02:32:00,5.04 mins
2026-01-28 02:34:00,5.39 mins
2026-01-28 02:36:00,5.39 mins
2026-01-28 02:38:00,5.39 mins
2026-01-28 02:40:00,5.33 mins
2026-01-28 02:42:00,5.33 mins
2026-01-28 02:44:00,5.25 mins
2026-01-28 02:46:00,5.32 mins
2026-01-28 02:48:00,5.32 mins
2026-01-28 02:50:00,5.17 mins
2026-01-28 02:52:00,5.17 mins
2026-01-28 02:54:00,5.17 mins
2026-01-28 02:56:00,5.14 mins
2026-01-28 02:58:00,5.14 mins
2026-01-28 03:00:00,5.14 mins
2026-01-28 03:02:00,5.13 mins
2026-01-28 03:04:00,5.13 mins
2026-01-28 03:06:00,5.17 mins
2026-01-28 03:08:00,5.18 mins
2026-01-28 03:10:00,5.18 mins
2026-01-28 03:12:00,5.04 mins
2026-01-28 03:14:00,5.04 mins
2026-01-28 03:16:00,5.04 mins
2026-01-28 03:18:00,5.14 mins
2026-01-28 03:20:00,5.14 mins
2026-01-28 03:22:00,5.15 mins
2026-01-28 03:24:00,5.15 mins
2026-01-28 03:26:00,5.15 mins
2026-01-28 03:28:00,5.14 mins
2026-01-28 03:30:00,5.14 mins
2026-01-28 03:32:00,5.14 mins
2026-01-28 03:34:00,5.14 mins
2026-01-28 03:36:00,5.14 mins
2026-01-28 03:38:00,5.14 mins
2026-01-28 03:40:00,5.13 mins
2026-01-28 03:42:00,5.13 mins
2026-01-28 03:44:00,5.15 mins
2026-01-28 03:46:00,5.15 mins
2026-01-28 03:48:00,5.15 mins
2026-01-28 03:50:00,5.22 mins
2026-01-28 03:52:00,5.22 mins
2026-01-28 03:54:00,5.22 mins
2026-01-28 03:56:00,5.12 mins
2026-01-28 03:58:00,5.12 mins
2026-01-28 04:00:00,5.13 mins
2026-01-28 04:02:00,5.24 mins
2026-01-28 04:04:00,5.24 mins
2026-01-28 04:06:00,5.13 mins
2026-01-28 04:08:00,5.13 mins
2026-01-28 04:10:00,5.13 mins
2026-01-28 04:12:00,5.22 mins
2026-01-28 04:14:00,5.22 mins
2026-01-28 04:16:00,5.22 mins
2026-01-28 04:18:00,5.04 mins
2026-01-28 04:20:00,5.04 mins
2026-01-28 04:22:00,5.11 mins
2026-01-28 04:24:00,5.12 mins
2026-01-28 04:26:00,5.12 mins
2026-01-28 04:28:00,5.22 mins
2026-01-28 04:30:00,5.22 mins
2026-01-28 04:32:00,5.22 mins
2026-01-28 04:34:00,5.13 mins
2026-01-28 04:36:00,5.13 mins
2026-01-28 04:38:00,5.13 mins
2026-01-28 04:40:00,5.19 mins
2026-01-28 04:42:00,5.19 mins
2026-01-28 04:44:00,5.17 mins
2026-01-28 04:46:00,5.17 mins
2026-01-28 04:48:00,5.17 mins
2026-01-28 04:50:00,5.18 mins
2026-01-28 04:52:00,5.18 mins
2026-01-28 04:54:00,5.18 mins
2026-01-28 04:56:00,5.17 mins
2026-01-28 04:58:00,5.17 mins
2026-01-28 05:00:00,5.17 mins
2026-01-28 05:02:00,5.16 mins
2026-01-28 05:04:00,5.16 mins
2026-01-28 05:06:00,5.17 mins
2026-01-28 05:08:00,5.17 mins
2026-01-28 05:10:00,5.17 mins
2026-01-28 05:12:00,5.18 mins
2026-01-28 05:14:00,5.18 mins
2026-01-28 05:16:00,5.18 mins
2026-01-28 05:18:00,5.16 mins
2026-01-28 05:20:00,5.16 mins
2026-01-28 05:22:00,5.18 mins
2026-01-28 05:24:00,5.18 mins
2026-01-28 05:26:00,5.18 mins
2026-01-28 05:28:00,5.15 mins
2026-01-28 05:30:00,5.15 mins
2026-01-28 05:32:00,5.15 mins
2026-01-28 05:34:00,5.17 mins
2026-01-28 05:36:00,5.17 mins
2026-01-28 05:38:00,5.17 mins
2026-01-28 05:40:00,5.16 mins
2026-01-28 05:42:00,5.16 mins
2026-01-28 05:44:00,5.33 mins
2026-01-28 05:46:00,5.37 mins
2026-01-28 05:48:00,5.37 mins
2026-01-28 05:50:00,5.15 mins
2026-01-28 05:52:00,5.15 mins
2026-01-28 05:54:00,5.15 mins
2026-01-28 05:56:00,5.28 mins
2026-01-28 05:58:00,5.28 mins
2026-01-28 06:00:00,5.28 mins
2026-01-28 06:02:00,5.64 mins
2026-01-28 06:04:00,5.64 mins
2026-01-28 06:06:00,5.64 mins
2026-01-28 06:08:00,5.36 mins
2026-01-28 06:10:00,5.36 mins
2026-01-28 06:12:00,5.19 mins
2026-01-28 06:14:00,5.15 mins
2026-01-28 06:16:00,5.15 mins
2026-01-28 06:18:00,5.31 mins
2026-01-28 06:20:00,5.31 mins
2026-01-28 06:22:00,5.31 mins
2026-01-28 06:24:00,5.30 mins
2026-01-28 06:26:00,5.30 mins
2026-01-28 06:28:00,5.30 mins
2026-01-28 06:30:00,5.36 mins
2026-01-28 06:32:00,5.36 mins
2026-01-28 06:34:00,5.36 mins
2026-01-28 06:36:00,5.64 mins
2026-01-28 06:38:00,5.64 mins
2026-01-28 06:40:00,5.64 mins
2026-01-28 06:42:00,5.61 mins
2026-01-28 06:44:00,5.61 mins
2026-01-28 06:46:00,5.61 mins
2026-01-28 06:48:00,5.24 mins
2026-01-28 06:50:00,5.24 mins
2026-01-28 06:52:00,5.24 mins
2026-01-28 06:54:00,5.22 mins
2026-01-28 06:56:00,5.22 mins
2026-01-28 06:58:00,5.18 mins
2026-01-28 07:00:00,5.29 mins
2026-01-28 07:02:00,5.29 mins
2026-01-28 07:04:00,5.14 mins
2026-01-28 07:06:00,5.14 mins
2026-01-28 07:08:00,5.14 mins
2026-01-28 07:10:00,5.16 mins
2026-01-28 07:12:00,5.16 mins
2026-01-28 07:14:00,5.16 mins
2026-01-28 07:16:00,5.25 mins
2026-01-28 07:18:00,5.25 mins
2026-01-28 07:20:00,5.25 mins
2026-01-28 07:22:00,5.24 mins
2026-01-28 07:24:00,5.24 mins
2026-01-28 07:26:00,5.23 mins
2026-01-28 07:28:00,5.23 mins
2026-01-28 07:30:00,5.23 mins
2026-01-28 07:32:00,5.41 mins
2026-01-28 07:34:00,5.63 mins
2026-01-28 07:36:00,5.63 mins
2026-01-28 07:38:00,5.18 mins
2026-01-28 07:40:00,5.18 mins
2026-01-28 07:42:00,5.18 mins
2026-01-28 07:44:00,5.17 mins
2026-01-28 07:46:00,5.17 mins
2026-01-28 07:48:00,5.17 mins
2026-01-28 07:50:00,5.26 mins
2026-01-28 07:52:00,5.26 mins
2026-01-28 07:54:00,5.26 mins
2026-01-28 07:56:00,5.25 mins
2026-01-28 07:58:00,5.25 mins
2026-01-28 08:00:00,5.25 mins
2026-01-28 08:02:00,5.65 mins
2026-01-28 08:04:00,5.65 mins
2026-01-28 08:06:00,5.16 mins
2026-01-28 08:08:00,5.16 mins
2026-01-28 08:10:00,5.16 mins
2026-01-28 08:12:00,4.90 mins
2026-01-28 08:14:00,4.90 mins
2026-01-28 08:16:00,4.90 mins
2026-01-28 08:18:00,5.40 mins
2026-01-28 08:20:00,5.40 mins
2026-01-28 08:22:00,5.40 mins
2026-01-28 08:24:00,5.14 mins
2026-01-28 08:26:00,5.14 mins
2026-01-28 08:28:00,5.23 mins
2026-01-28 08:30:00,5.23 mins
2026-01-28 08:32:00,5.23 mins
2026-01-28 08:34:00,5.23 mins
2026-01-28 08:36:00,5.23 mins
2026-01-28 08:38:00,5.23 mins
2026-01-28 08:40:00,5.25 mins
2026-01-28 08:42:00,5.25 mins
2026-01-28 08:44:00,5.25 mins
2026-01-28 08:46:00,5.14 mins
2026-01-28 08:48:00,5.14 mins
2026-01-28 08:50:00,5.13 mins
2026-01-28 08:52:00,5.13 mins
2026-01-28 08:54:00,5.13 mins
2026-01-28 08:56:00,5.18 mins
2026-01-28 08:58:00,5.18 mins
2026-01-28 09:00:00,5.18 mins
2026-01-28 09:02:00,5.22 mins
2026-01-28 09:04:00,5.22 mins
2026-01-28 09:06:00,5.13 mins
2026-01-28 09:08:00,5.13 mins
2026-01-28 09:10:00,5.13 mins
2026-01-28 09:12:00,5.21 mins
2026-01-28 09:14:00,5.32 mins
2026-01-28 09:16:00,5.32 mins
2026-01-28 09:18:00,5.26 mins
2026-01-28 09:20:00,5.26 mins
2026-01-28 09:22:00,5.26 mins
2026-01-28 09:24:00,5.22 mins
2026-01-28 09:26:00,5.22 mins
2026-01-28 09:28:00,5.22 mins
2026-01-28 09:30:00,5.16 mins
2026-01-28 09:32:00,5.16 mins
2026-01-28 09:34:00,5.16 mins
2026-01-28 09:36:00,5.19 mins
2026-01-28 09:38:00,5.19 mins
2026-01-28 09:40:00,5.30 mins
2026-01-28 09:42:00,5.33 mins
2026-01-28 09:44:00,5.33 mins
2026-01-28 09:46:00,5.19 mins
2026-01-28 09:48:00,5.19 mins
2026-01-28 09:50:00,5.19 mins
2026-01-28 09:52:00,5.12 mins
2026-01-28 09:54:00,5.12 mins
2026-01-28 09:56:00,5.12 mins
2026-01-28 09:58:00,5.10 mins
2026-01-28 10:00:00,5.10 mins
2026-01-28 10:02:00,5.13 mins
2026-01-28 10:04:00,5.13 mins
2026-01-28 10:06:00,5.13 mins
2026-01-28 10:08:00,5.32 mins
2026-01-28 10:10:00,5.32 mins
2026-01-28 10:12:00,5.32 mins
2026-01-28 10:14:00,5.32 mins
2026-01-28 10:16:00,5.32 mins
2026-01-28 10:18:00,5.32 mins
2026-01-28 10:20:00,5.14 mins
2026-01-28 10:22:00,5.14 mins
2026-01-28 10:24:00,5.13 mins
2026-01-28 10:26:00,5.28 mins
2026-01-28 10:28:00,5.28 mins
2026-01-28 10:30:00,5.32 mins
2026-01-28 10:32:00,5.44 mins
2026-01-28 10:34:00,5.44 mins
2026-01-28 10:36:00,4.54 mins
2026-01-28 10:38:00,4.54 mins
2026-01-28 10:40:00,4.25 mins
2026-01-28 10:42:00,4.20 mins
2026-01-28 10:44:00,4.20 mins
2026-01-28 10:46:00,4.27 mins
2026-01-28 10:48:00,4.27 mins
2026-01-28 10:50:00,4.26 mins
2026-01-28 10:52:00,4.26 mins
2026-01-28 10:54:00,4.33 mins
2026-01-28 10:56:00,4.33 mins
2026-01-28 10:58:00,4.25 mins
2026-01-28 11:00:00,4.25 mins
2026-01-28 11:02:00,4.25 mins
2026-01-28 11:04:00,4.26 mins
2026-01-28 11:06:00,4.26 mins
2026-01-28 11:08:00,4.25 mins
2026-01-28 11:10:00,4.25 mins
2026-01-28 11:12:00,4.25 mins
2026-01-28 11:14:00,4.25 mins
2026-01-28 11:16:00,4.18 mins
2026-01-28 11:18:00,4.18 mins
2026-01-28 11:20:00,4.26 mins
2026-01-28 11:22:00,4.26 mins
2026-01-28 11:24:00,4.26 mins
2026-01-28 11:26:00,4.26 mins
2026-01-28 11:28:00,4.26 mins
2026-01-28 11:30:00,4.25 mins
2026-01-28 11:32:00,4.25 mins
2026-01-28 11:34:00,4.18 mins
2026-01-28 11:36:00,4.18 mins
2026-01-28 11:38:00,4.25 mins
2026-01-28 11:40:00,4.25 mins
2026-01-28 11:42:00,4.26 mins
2026-01-28 11:44:00,4.26 mins
2026-01-28 11:46:00,4.26 mins
2026-01-28 11:48:00,4.27 mins
2026-01-28 11:50:00,4.27 mins
2026-01-28 11:52:00,4.25 mins
2026-01-28 11:54:00,4.25 mins
2026-01-28 11:56:00,4.20 mins
2026-01-28 11:58:00,4.20 mins
2026-01-28 12:00:00,4.18 mins
2026-01-28 12:02:00,4.18 mins
2026-01-28 12:04:00,4.18 mins
2026-01-28 12:06:00,4.18 mins
2026-01-28 12:08:00,4.18 mins
2026-01-28 12:10:00,4.18 mins
2026-01-28 12:12:00,4.18 mins
2026-01-28 12:14:00,4.26 mins
2026-01-28 12:16:00,4.26 mins
2026-01-28 12:18:00,4.17 mins
2026-01-28 12:20:00,4.17 mins
2026-01-28 12:22:00,4.28 mins
2026-01-28 12:24:00,4.28 mins
2026-01-28 12:26:00,4.18 mins
2026-01-28 12:28:00,4.18 mins
2026-01-28 12:30:00,4.29 mins
2026-01-28 12:32:00,4.32 mins
2026-01-28 12:34:00,4.32 mins
2026-01-28 12:36:00,4.18 mins
2026-01-28 12:38:00,4.18 mins
2026-01-28 12:40:00,4.21 mins
2026-01-28 12:42:00,4.21 mins
2026-01-28 12:44:00,4.17 mins
2026-01-28 12:46:00,4.17 mins
2026-01-28 12:48:00,4.28 mins
2026-01-28 12:50:00,4.28 mins
2026-01-28 12:52:00,4.24 mins
2026-01-28 12:54:00,4.38 mins
2026-01-28 12:56:00,4.38 mins
2026-01-28 12:58:00,4.21 mins
2026-01-28 13:00:00,4.21 mins
2026-01-28 13:02:00,4.18 mins
2026-01-28 13:04:00,4.18 mins
2026-01-28 13:06:00,4.16 mins
2026-01-28 13:08:00,4.16 mins
2026-01-28 13:10:00,4.35 mins
2026-01-28 13:12:00,4.35 mins
2026-01-28 13:14:00,4.22 mins
2026-01-28 13:16:00,4.18 mins
2026-01-28 13:18:00,4.18 mins
2026-01-28 13:20:00,4.29 mins
2026-01-28 13:22:00,4.29 mins
2026-01-28 13:24:00,4.27 mins
2026-01-28 13:26:00,4.27 mins
2026-01-28 13:28:00,4.19 mins
2026-01-28 13:30:00,4.19 mins
