"Time","db462338-c776-4d76-a31e-91c195592a51"
2026-01-05 21:24:00,7.23 s
2026-01-05 21:25:00,48.6 s
2026-01-05 21:26:00,45.1 s
2026-01-05 21:27:00,42.0 s
2026-01-05 21:28:00,11.9 s
2026-01-05 21:29:00,41.0 s
2026-01-05 21:30:00,40.6 s
2026-01-05 21:31:00,5.64 s
2026-01-05 21:32:00,11.4 s
2026-01-05 21:33:00,6.76 s
2026-01-05 21:34:00,6.49 s
2026-01-05 21:35:00,5.68 s
2026-01-05 21:36:00,6.70 s
2026-01-05 21:37:00,5.86 s
2026-01-05 21:38:00,6.86 s
2026-01-05 21:39:00,5.76 s
2026-01-05 21:40:00,6.64 s
2026-01-05 21:41:00,6.04 s
2026-01-05 21:42:00,5.34 s
2026-01-05 21:43:00,5.41 s
2026-01-05 21:44:00,6.67 s
2026-01-05 21:45:00,38.6 s
2026-01-05 21:46:00,7.21 s
2026-01-05 21:47:00,17.0 s
2026-01-05 21:48:00,10.1 s
2026-01-05 21:49:00,10.1 s
2026-01-05 21:50:00,25.9 s
2026-01-05 21:51:00,16.3 s
2026-01-05 21:52:00,11.7 s
2026-01-05 21:53:00,6.88 s
2026-01-05 21:54:00,5.79 s
2026-01-05 21:55:00,9.54 s
2026-01-05 21:56:00,5.58 s
2026-01-05 21:57:00,6.23 s
2026-01-05 21:58:00,5.65 s
2026-01-05 21:59:00,9.26 s
2026-01-05 22:00:00,7.32 s
2026-01-05 22:01:00,7.32 s
2026-01-05 22:02:00,36.6 s
2026-01-05 22:03:00,36.8 s
2026-01-05 22:04:00,36.8 s
2026-01-05 22:05:00,36.8 s
2026-01-05 22:06:00,1.09 mins
2026-01-05 22:07:00,11.3 s
2026-01-05 22:08:00,11.3 s
2026-01-05 22:09:00,11.3 s
2026-01-05 22:10:00,11.3 s
2026-01-05 22:11:00,1.21 mins
2026-01-05 22:12:00,1.21 mins
2026-01-05 22:13:00,1.21 mins
2026-01-05 22:14:00,1.21 mins
2026-01-05 22:15:00,1.21 mins
2026-01-05 22:16:00,1.21 mins
2026-01-05 22:17:00,1.21 mins
2026-01-05 22:18:00,1.21 mins
2026-01-05 22:19:00,1.21 mins
2026-01-05 22:20:00,1.21 mins
2026-01-05 22:21:00,1.20 mins
2026-01-05 22:22:00,1.20 mins
2026-01-05 22:23:00,1.20 mins
2026-01-05 22:24:00,51.8 s
2026-01-05 22:25:00,51.8 s
2026-01-05 22:26:00,51.8 s
2026-01-05 22:27:00,51.8 s
2026-01-05 22:28:00,1.07 mins
2026-01-05 22:29:00,1.07 mins
2026-01-05 22:30:00,1.07 mins
2026-01-05 22:31:00,1.07 mins
2026-01-05 22:32:00,1.20 mins
2026-01-05 22:33:00,1.20 mins
2026-01-05 22:34:00,1.20 mins
2026-01-05 22:35:00,1.20 mins
2026-01-05 22:36:00,1.20 mins
2026-01-05 22:37:00,1.20 mins
2026-01-05 22:38:00,1.20 mins
2026-01-05 22:39:00,1.20 mins
2026-01-05 22:40:00,1.20 mins
2026-01-05 22:41:00,1.20 mins
2026-01-05 22:42:00,1.20 mins
2026-01-05 22:43:00,1.20 mins
2026-01-05 22:44:00,1.20 mins
2026-01-05 22:45:00,1.20 mins
2026-01-05 22:46:00,1.20 mins
2026-01-05 22:47:00,1.20 mins
2026-01-05 22:48:00,1.20 mins
2026-01-05 22:49:00,51.8 s
2026-01-05 22:50:00,51.8 s
2026-01-05 22:51:00,51.8 s
2026-01-05 22:52:00,51.8 s
2026-01-05 22:53:00,1.08 mins
2026-01-05 22:54:00,1.08 mins
2026-01-05 22:55:00,1.08 mins
2026-01-05 22:56:00,1.08 mins
2026-01-05 22:57:00,1.16 mins
2026-01-05 22:58:00,1.16 mins
2026-01-05 22:59:00,1.16 mins
2026-01-05 23:00:00,1.16 mins
2026-01-05 23:01:00,1.16 mins
2026-01-05 23:02:00,6.46 s
2026-01-05 23:03:00,13.4 s
2026-01-05 23:04:00,8.65 s
2026-01-05 23:05:00,18.8 s
2026-01-05 23:06:00,7.91 s
2026-01-05 23:07:00,8.84 s
2026-01-05 23:08:00,6.71 s
2026-01-05 23:09:00,7.94 s
2026-01-05 23:10:00,7.19 s
2026-01-05 23:11:00,7.31 s
2026-01-05 23:12:00,6.48 s
2026-01-05 23:13:00,8.25 s
2026-01-05 23:14:00,7.67 s
2026-01-05 23:15:00,9.29 s
2026-01-05 23:16:00,7.74 s
2026-01-05 23:17:00,6.35 s
2026-01-05 23:18:00,7.63 s
2026-01-05 23:19:00,21.2 s
2026-01-05 23:20:00,17.0 s
2026-01-05 23:21:00,14.1 s
2026-01-05 23:22:00,21.8 s
2026-01-05 23:23:00,21.4 s
2026-01-05 23:24:00,16.0 s
2026-01-05 23:25:00,16.9 s
2026-01-05 23:26:00,26.6 s
2026-01-05 23:27:00,14.2 s
2026-01-05 23:28:00,7.85 s
2026-01-05 23:29:00,8.15 s
2026-01-05 23:30:00,9.57 s
2026-01-05 23:31:00,8.81 s
2026-01-05 23:32:00,6.47 s
2026-01-05 23:33:00,9.82 s
2026-01-05 23:34:00,7.57 s
2026-01-05 23:35:00,8.84 s
2026-01-05 23:36:00,7.39 s
2026-01-05 23:37:00,8.50 s
2026-01-05 23:38:00,6.94 s
2026-01-05 23:39:00,9.09 s
2026-01-05 23:40:00,10.8 s
2026-01-05 23:41:00,9.66 s
2026-01-05 23:42:00,8.28 s
2026-01-05 23:43:00,8.78 s
2026-01-05 23:44:00,7.94 s
2026-01-05 23:45:00,7.60 s
2026-01-05 23:46:00,6.91 s
2026-01-05 23:47:00,8.26 s
2026-01-05 23:48:00,8.62 s
2026-01-05 23:49:00,6.87 s
2026-01-05 23:50:00,9.36 s
2026-01-05 23:51:00,9.71 s
2026-01-05 23:52:00,8.65 s
2026-01-05 23:53:00,7.47 s
2026-01-05 23:54:00,9.47 s
2026-01-05 23:55:00,8.20 s
2026-01-05 23:56:00,7.04 s
2026-01-05 23:57:00,7.44 s
2026-01-05 23:58:00,8.45 s
2026-01-05 23:59:00,6.56 s
2026-01-06 00:00:00,8.07 s
2026-01-06 00:01:00,9.67 s
2026-01-06 00:02:00,6.66 s
2026-01-06 00:03:00,9.93 s
2026-01-06 00:04:00,7.78 s
2026-01-06 00:05:00,9.79 s
2026-01-06 00:06:00,7.04 s
2026-01-06 00:07:00,8.08 s
2026-01-06 00:08:00,9.17 s
2026-01-06 00:09:00,8.32 s
2026-01-06 00:10:00,7.37 s
2026-01-06 00:11:00,8.03 s
2026-01-06 00:12:00,9.61 s
2026-01-06 00:13:00,7.52 s
2026-01-06 00:14:00,9.58 s
2026-01-06 00:15:00,9.19 s
2026-01-06 00:16:00,8.43 s
2026-01-06 00:17:00,9.46 s
2026-01-06 00:18:00,8.88 s
2026-01-06 00:19:00,7.62 s
2026-01-06 00:20:00,12.0 s
2026-01-06 00:21:00,7.53 s
2026-01-06 00:22:00,7.28 s
2026-01-06 00:23:00,6.61 s
2026-01-06 00:24:00,8.79 s
2026-01-06 00:25:00,10.2 s
2026-01-06 00:26:00,48.7 s
2026-01-06 00:27:00,8.75 s
2026-01-06 00:28:00,9.47 s
2026-01-06 00:29:00,42.6 s
2026-01-06 00:30:00,14.0 s
2026-01-06 00:31:00,9.41 s
2026-01-06 00:32:00,8.07 s
2026-01-06 00:33:00,9.91 s
2026-01-06 00:34:00,6.12 s
2026-01-06 00:35:00,7.40 s
2026-01-06 00:36:00,7.64 s
2026-01-06 00:37:00,9.00 s
2026-01-06 00:38:00,6.91 s
2026-01-06 00:39:00,10.3 s
2026-01-06 00:40:00,6.53 s
2026-01-06 00:41:00,7.33 s
2026-01-06 00:42:00,7.74 s
2026-01-06 00:43:00,7.76 s
2026-01-06 00:44:00,7.48 s
2026-01-06 00:45:00,19.4 s
2026-01-06 00:46:00,9.12 s
2026-01-06 00:47:00,6.12 s
2026-01-06 00:48:00,6.15 s
2026-01-06 00:49:00,23.2 s
2026-01-06 00:50:00,20.0 s
2026-01-06 00:51:00,15.2 s
2026-01-06 00:52:00,30.6 s
2026-01-06 00:53:00,19.1 s
2026-01-06 00:54:00,55.2 s
2026-01-06 00:55:00,33.1 s
2026-01-06 00:56:00,34.0 s
2026-01-06 00:57:00,18.8 s
2026-01-06 00:58:00,21.7 s
2026-01-06 00:59:00,9.39 s
2026-01-06 01:00:00,35.0 s
2026-01-06 01:01:00,29.3 s
2026-01-06 01:02:00,30.3 s
2026-01-06 01:03:00,20.8 s
2026-01-06 01:04:00,22.1 s
2026-01-06 01:05:00,34.7 s
2026-01-06 01:06:00,15.2 s
2026-01-06 01:07:00,5.97 s
2026-01-06 01:08:00,12.4 s
2026-01-06 01:09:00,36.7 s
2026-01-06 01:10:00,7.72 s
2026-01-06 01:11:00,31.3 s
2026-01-06 01:12:00,6.20 s
2026-01-06 01:13:00,19.3 s
2026-01-06 01:14:00,7.30 s
2026-01-06 01:15:00,7.18 s
2026-01-06 01:16:00,9.85 s
2026-01-06 01:17:00,8.51 s
2026-01-06 01:18:00,10.6 s
2026-01-06 01:19:00,12.5 s
2026-01-06 01:20:00,8.21 s
2026-01-06 01:21:00,6.34 s
2026-01-06 01:22:00,8.39 s
2026-01-06 01:23:00,6.39 s
2026-01-06 01:24:00,6.81 s
2026-01-06 01:25:00,6.98 s
2026-01-06 01:26:00,13.3 s
2026-01-06 01:27:00,6.29 s
2026-01-06 01:28:00,6.00 s
2026-01-06 01:29:00,6.83 s
2026-01-06 01:30:00,9.85 s
2026-01-06 01:31:00,7.71 s
2026-01-06 01:32:00,6.79 s
2026-01-06 01:33:00,6.15 s
2026-01-06 01:34:00,6.24 s
2026-01-06 01:35:00,27.0 s
2026-01-06 01:36:00,8.72 s
2026-01-06 01:37:00,16.2 s
2026-01-06 01:38:00,16.2 s
2026-01-06 01:39:00,7.04 s
2026-01-06 01:40:00,7.04 s
2026-01-06 01:41:00,52.3 s
2026-01-06 01:42:00,11.7 s
2026-01-06 01:43:00,8.36 s
2026-01-06 01:44:00,7.22 s
2026-01-06 01:45:00,26.6 s
2026-01-06 01:46:00,6.15 s
2026-01-06 01:47:00,10.6 s
2026-01-06 01:48:00,29.8 s
2026-01-06 01:49:00,21.3 s
2026-01-06 01:50:00,25.4 s
2026-01-06 01:51:00,26.2 s
2026-01-06 01:52:00,6.42 s
2026-01-06 01:53:00,6.81 s
2026-01-06 01:54:00,7.55 s
2026-01-06 01:55:00,6.69 s
2026-01-06 01:56:00,8.86 s
2026-01-06 01:57:00,6.14 s
2026-01-06 01:58:00,5.65 s
2026-01-06 01:59:00,5.16 s
2026-01-06 02:00:00,5.60 s
2026-01-06 02:01:00,8.52 s
2026-01-06 02:02:00,37.6 s
2026-01-06 02:03:00,37.6 s
2026-01-06 02:04:00,47.9 s
2026-01-06 02:05:00,8.81 s
2026-01-06 02:06:00,23.2 s
2026-01-06 02:07:00,9.74 s
2026-01-06 02:08:00,5.84 s
2026-01-06 02:09:00,43.8 s
2026-01-06 02:10:00,33.3 s
2026-01-06 02:11:00,9.01 s
2026-01-06 02:12:00,15.8 s
2026-01-06 02:13:00,31.1 s
2026-01-06 02:14:00,30.3 s
2026-01-06 02:15:00,30.1 s
2026-01-06 02:16:00,5.96 s
2026-01-06 02:17:00,8.12 s
2026-01-06 02:18:00,25.7 s
2026-01-06 02:19:00,5.88 s
2026-01-06 02:20:00,34.8 s
2026-01-06 02:21:00,44.4 s
2026-01-06 02:22:00,26.4 s
2026-01-06 02:23:00,30.2 s
2026-01-06 02:24:00,27.9 s
2026-01-06 02:25:00,13.9 s
2026-01-06 02:26:00,10.7 s
2026-01-06 02:27:00,5.91 s
2026-01-06 02:28:00,13.8 s
2026-01-06 02:29:00,5.60 s
2026-01-06 02:30:00,5.84 s
2026-01-06 02:31:00,6.54 s
2026-01-06 02:32:00,5.76 s
2026-01-06 02:33:00,5.59 s
2026-01-06 02:34:00,5.92 s
2026-01-06 02:35:00,5.97 s
2026-01-06 02:36:00,7.39 s
2026-01-06 02:37:00,6.89 s
2026-01-06 02:38:00,25.7 s
2026-01-06 02:39:00,15.5 s
2026-01-06 02:40:00,26.2 s
2026-01-06 02:41:00,15.8 s
2026-01-06 02:42:00,6.38 s
2026-01-06 02:43:00,33.4 s
2026-01-06 02:44:00,33.4 s
2026-01-06 02:45:00,42.1 s
2026-01-06 02:46:00,48.9 s
2026-01-06 02:47:00,8.16 s
2026-01-06 02:48:00,5.75 s
2026-01-06 02:49:00,10.5 s
2026-01-06 02:50:00,6.46 s
2026-01-06 02:51:00,5.65 s
2026-01-06 02:52:00,5.70 s
2026-01-06 02:53:00,5.58 s
2026-01-06 02:54:00,5.89 s
2026-01-06 02:55:00,10.2 s
2026-01-06 02:56:00,5.77 s
2026-01-06 02:57:00,5.41 s
2026-01-06 02:58:00,5.06 s
2026-01-06 02:59:00,6.60 s
2026-01-06 03:00:00,8.74 s
2026-01-06 03:01:00,8.74 s
2026-01-06 03:02:00,33.7 s
2026-01-06 03:03:00,21.2 s
2026-01-06 03:04:00,19.7 s
2026-01-06 03:05:00,9.66 s
2026-01-06 03:06:00,15.7 s
2026-01-06 03:07:00,23.7 s
2026-01-06 03:08:00,13.9 s
2026-01-06 03:09:00,6.46 s
2026-01-06 03:10:00,5.71 s
2026-01-06 03:11:00,5.76 s
2026-01-06 03:12:00,6.36 s
2026-01-06 03:13:00,5.56 s
2026-01-06 03:14:00,6.17 s
2026-01-06 03:15:00,6.38 s
2026-01-06 03:16:00,5.84 s
2026-01-06 03:17:00,5.79 s
2026-01-06 03:18:00,6.24 s
2026-01-06 03:19:00,5.69 s
2026-01-06 03:20:00,6.09 s
2026-01-06 03:21:00,6.26 s
2026-01-06 03:22:00,19.5 s
2026-01-06 03:23:00,23.4 s
2026-01-06 03:24:00,23.7 s
2026-01-06 03:25:00,18.2 s
2026-01-06 03:26:00,6.13 s
2026-01-06 03:27:00,7.84 s
2026-01-06 03:28:00,5.74 s
2026-01-06 03:29:00,6.28 s
2026-01-06 03:30:00,5.67 s
2026-01-06 03:31:00,5.42 s
2026-01-06 03:32:00,6.08 s
2026-01-06 03:33:00,6.24 s
2026-01-06 03:34:00,6.16 s
2026-01-06 03:35:00,5.41 s
2026-01-06 03:36:00,8.44 s
2026-01-06 03:37:00,6.06 s
2026-01-06 03:38:00,44.1 s
2026-01-06 03:39:00,44.1 s
2026-01-06 03:40:00,53.6 s
2026-01-06 03:41:00,53.6 s
2026-01-06 03:42:00,55.2 s
2026-01-06 03:43:00,36.0 s
2026-01-06 03:44:00,12.3 s
2026-01-06 03:45:00,9.14 s
2026-01-06 03:46:00,9.14 s
2026-01-06 03:47:00,17.8 s
2026-01-06 03:48:00,9.31 s
2026-01-06 03:49:00,6.15 s
2026-01-06 03:50:00,5.64 s
2026-01-06 03:51:00,5.91 s
2026-01-06 03:52:00,6.29 s
2026-01-06 03:53:00,6.18 s
2026-01-06 03:54:00,6.44 s
2026-01-06 03:55:00,6.55 s
2026-01-06 03:56:00,6.35 s
2026-01-06 03:57:00,6.15 s
2026-01-06 03:58:00,5.95 s
2026-01-06 03:59:00,6.07 s
2026-01-06 04:00:00,13.1 s
2026-01-06 04:01:00,20.6 s
2026-01-06 04:02:00,22.5 s
2026-01-06 04:03:00,7.83 s
2026-01-06 04:04:00,5.86 s
2026-01-06 04:05:00,8.12 s
2026-01-06 04:06:00,5.73 s
2026-01-06 04:07:00,6.09 s
2026-01-06 04:08:00,5.56 s
2026-01-06 04:09:00,6.57 s
