"Time","data1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","data1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","data1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","data1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","data1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","data1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","data1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","gateway1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","gateway1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker3 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker3 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker3 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker3 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (digital_ocean) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (digital_ocean) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (digital_ocean) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker4 (digital_ocean) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker4 (digital_ocean) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker4 (digital_ocean) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker6 (hyperstacks) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (hyperstacks) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (hyperstacks) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker6 (hyperstacks) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker6 (hyperstacks) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker6 (hyperstacks) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-03 19:00:00,18.9 ms,97.8 ms,14.3 ms,,1.26 ms,0.522 ms,0.766 ms,22.7 ms,98.7 ms,15.1 ms,,1.38 ms,0.606 ms,0.656 ms,23.8 ms,98.5 ms,15.2 ms,,0.988 ms,1.05 ms,1.44 ms,23.1 ms,97.7 ms,14.5 ms,,1.05 ms,0.286 ms,0.674 ms,109 ms,38.8 ms,23.7 ms,18.8 ms,23.0 ms,22.8 ms,38.6 ms,98.6 ms,14.8 ms,14.4 ms,14.6 ms,15.0 ms,109 ms,98.8 ms,,98.6 ms,97.8 ms,97.7 ms,98.7 ms
2026-01-03 19:05:00,18.7 ms,97.8 ms,14.4 ms,,1.11 ms,0.423 ms,0.814 ms,22.6 ms,98.8 ms,15.8 ms,,1.50 ms,0.672 ms,0.606 ms,23.8 ms,98.8 ms,14.7 ms,,1.03 ms,0.999 ms,1.62 ms,23.0 ms,97.7 ms,14.4 ms,,1.34 ms,0.391 ms,0.679 ms,109 ms,38.6 ms,23.7 ms,18.9 ms,23.1 ms,22.9 ms,38.7 ms,99.2 ms,14.8 ms,14.3 ms,14.3 ms,15.3 ms,109 ms,98.7 ms,,98.7 ms,97.9 ms,97.7 ms,98.8 ms
2026-01-03 19:10:00,19.2 ms,97.8 ms,14.2 ms,,1.10 ms,0.580 ms,0.777 ms,22.8 ms,98.6 ms,15.3 ms,,1.36 ms,0.651 ms,0.614 ms,24.0 ms,98.5 ms,14.8 ms,,0.949 ms,0.968 ms,1.50 ms,23.0 ms,97.7 ms,14.4 ms,,0.976 ms,0.526 ms,0.701 ms,109 ms,38.0 ms,23.6 ms,20.0 ms,23.0 ms,22.9 ms,37.7 ms,99.2 ms,54.0 ms,14.3 ms,14.3 ms,15.2 ms,109 ms,98.4 ms,,98.7 ms,97.8 ms,97.8 ms,98.8 ms
2026-01-03 19:15:00,19.2 ms,97.7 ms,14.4 ms,,1.08 ms,0.489 ms,0.720 ms,22.7 ms,98.6 ms,15.1 ms,,1.49 ms,0.702 ms,0.612 ms,23.7 ms,98.7 ms,14.9 ms,,0.993 ms,1.10 ms,1.47 ms,23.0 ms,97.7 ms,14.7 ms,,1.16 ms,0.409 ms,0.712 ms,109 ms,37.7 ms,23.7 ms,19.1 ms,23.0 ms,22.6 ms,37.8 ms,99.4 ms,14.8 ms,14.6 ms,14.4 ms,17.9 ms,109 ms,98.6 ms,,98.6 ms,97.8 ms,97.8 ms,98.9 ms
2026-01-03 19:20:00,19.1 ms,97.7 ms,14.4 ms,,1.01 ms,0.415 ms,0.829 ms,22.7 ms,98.6 ms,15.1 ms,,1.35 ms,0.762 ms,0.802 ms,23.7 ms,99.8 ms,15.0 ms,,0.938 ms,1.07 ms,1.32 ms,23.1 ms,97.7 ms,14.3 ms,,1.37 ms,0.504 ms,0.704 ms,109 ms,37.6 ms,23.8 ms,422 ms,23.2 ms,22.8 ms,38.3 ms,98.6 ms,14.9 ms,14.4 ms,14.2 ms,15.5 ms,109 ms,98.9 ms,,99.6 ms,97.9 ms,97.7 ms,98.8 ms
2026-01-03 19:25:00,19.5 ms,99.0 ms,14.5 ms,,1.07 ms,0.551 ms,0.673 ms,22.6 ms,98.6 ms,15.1 ms,,1.30 ms,0.598 ms,0.684 ms,23.8 ms,98.6 ms,14.8 ms,,1.00 ms,1.02 ms,1.35 ms,23.1 ms,98.6 ms,14.3 ms,,1.11 ms,0.395 ms,0.703 ms,109 ms,37.9 ms,23.8 ms,4.06 s,23.1 ms,22.7 ms,37.7 ms,98.4 ms,14.9 ms,14.8 ms,14.2 ms,14.9 ms,109 ms,98.6 ms,,98.7 ms,98.8 ms,98.6 ms,98.8 ms
2026-01-03 19:30:00,18.8 ms,97.9 ms,14.3 ms,,1.03 ms,0.437 ms,0.844 ms,22.7 ms,98.6 ms,15.7 ms,,1.26 ms,0.698 ms,0.727 ms,24.2 ms,98.6 ms,15.0 ms,,1.02 ms,1.17 ms,1.27 ms,23.3 ms,97.7 ms,14.5 ms,,1.12 ms,0.444 ms,0.689 ms,109 ms,38.1 ms,24.4 ms,18.9 ms,23.3 ms,23.1 ms,38.0 ms,100 ms,14.9 ms,14.5 ms,14.4 ms,15.4 ms,109 ms,98.6 ms,,98.8 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-03 19:35:00,19.2 ms,97.9 ms,14.3 ms,,1.16 ms,0.488 ms,0.905 ms,22.7 ms,98.8 ms,15.0 ms,,1.25 ms,0.722 ms,0.746 ms,23.8 ms,98.7 ms,14.9 ms,,1.07 ms,1.17 ms,1.60 ms,23.3 ms,97.9 ms,14.4 ms,,1.23 ms,0.355 ms,0.696 ms,109 ms,38.2 ms,23.8 ms,19.4 ms,23.1 ms,23.0 ms,37.8 ms,98.8 ms,15.1 ms,14.7 ms,16.0 ms,15.3 ms,109 ms,98.8 ms,,98.7 ms,97.9 ms,97.8 ms,98.9 ms
2026-01-03 19:40:00,19.2 ms,98.8 ms,14.5 ms,,1.30 ms,0.558 ms,0.746 ms,22.6 ms,98.8 ms,15.3 ms,,1.46 ms,0.611 ms,0.869 ms,23.7 ms,99.7 ms,14.7 ms,,1.05 ms,1.42 ms,1.39 ms,23.1 ms,98.7 ms,15.5 ms,,1.23 ms,0.650 ms,0.809 ms,109 ms,37.9 ms,24.4 ms,19.4 ms,23.0 ms,23.2 ms,37.8 ms,98.5 ms,14.8 ms,14.4 ms,22.5 ms,32.3 ms,109 ms,99.7 ms,,99.8 ms,98.8 ms,98.6 ms,98.9 ms
2026-01-03 19:45:00,18.8 ms,97.9 ms,14.6 ms,,1.12 ms,0.400 ms,0.899 ms,22.7 ms,98.6 ms,15.1 ms,,1.41 ms,0.658 ms,0.634 ms,23.8 ms,98.9 ms,14.7 ms,,0.970 ms,1.02 ms,1.35 ms,24.5 ms,97.8 ms,15.2 ms,,1.42 ms,0.353 ms,0.683 ms,109 ms,37.9 ms,24.0 ms,18.9 ms,23.0 ms,22.9 ms,37.8 ms,98.5 ms,14.7 ms,14.5 ms,14.4 ms,15.0 ms,109 ms,98.5 ms,,98.7 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-03 19:50:00,19.1 ms,98.8 ms,14.4 ms,,0.985 ms,0.594 ms,0.700 ms,22.6 ms,98.8 ms,15.3 ms,,1.44 ms,0.614 ms,0.652 ms,23.6 ms,99.9 ms,14.8 ms,,1.08 ms,1.09 ms,1.38 ms,23.1 ms,98.7 ms,14.7 ms,,1.24 ms,0.468 ms,0.730 ms,109 ms,38.0 ms,23.7 ms,3.12 s,23.1 ms,22.7 ms,38.3 ms,98.7 ms,15.4 ms,14.6 ms,14.6 ms,15.0 ms,109 ms,98.9 ms,,99.6 ms,98.9 ms,98.6 ms,98.9 ms
2026-01-03 19:55:00,19.5 ms,97.8 ms,14.3 ms,,1.06 ms,0.456 ms,0.864 ms,22.6 ms,98.6 ms,15.4 ms,,1.48 ms,0.671 ms,0.788 ms,23.6 ms,98.6 ms,14.6 ms,,1.08 ms,1.06 ms,1.31 ms,23.2 ms,97.8 ms,14.6 ms,,0.975 ms,0.394 ms,0.694 ms,109 ms,37.8 ms,24.0 ms,19.6 ms,23.3 ms,22.7 ms,37.8 ms,98.9 ms,15.0 ms,14.6 ms,14.5 ms,15.0 ms,109 ms,98.7 ms,,98.5 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-03 20:00:00,19.0 ms,97.8 ms,14.3 ms,,1.03 ms,0.458 ms,0.736 ms,22.7 ms,98.7 ms,15.7 ms,,2.28 ms,0.742 ms,0.645 ms,23.7 ms,98.7 ms,14.7 ms,,1.06 ms,1.04 ms,1.26 ms,23.1 ms,97.7 ms,14.5 ms,,1.51 ms,0.517 ms,0.773 ms,109 ms,38.4 ms,23.9 ms,19.0 ms,23.2 ms,22.9 ms,38.1 ms,99.1 ms,14.9 ms,14.8 ms,14.3 ms,14.9 ms,109 ms,98.6 ms,,101 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-03 20:05:00,19.1 ms,97.8 ms,14.3 ms,,1.16 ms,0.447 ms,0.640 ms,22.6 ms,98.8 ms,15.2 ms,,1.62 ms,0.736 ms,0.615 ms,23.6 ms,99.6 ms,14.8 ms,,1.02 ms,1.03 ms,1.25 ms,27.3 ms,97.7 ms,14.9 ms,,1.05 ms,0.544 ms,0.783 ms,109 ms,38.1 ms,23.6 ms,19.0 ms,23.3 ms,22.9 ms,37.8 ms,98.7 ms,14.9 ms,14.4 ms,14.4 ms,15.3 ms,109 ms,98.8 ms,,99.6 ms,97.9 ms,97.7 ms,98.9 ms
2026-01-03 20:10:00,18.8 ms,98.8 ms,14.3 ms,,1.46 ms,0.655 ms,0.764 ms,22.9 ms,98.7 ms,14.9 ms,,1.32 ms,0.651 ms,0.612 ms,23.6 ms,98.8 ms,15.2 ms,,1.15 ms,1.08 ms,1.55 ms,23.6 ms,98.6 ms,14.2 ms,,1.10 ms,0.655 ms,0.685 ms,109 ms,37.7 ms,24.0 ms,18.9 ms,23.2 ms,22.8 ms,37.4 ms,98.8 ms,14.6 ms,14.8 ms,14.3 ms,14.8 ms,109 ms,98.7 ms,,98.8 ms,98.9 ms,98.6 ms,99.0 ms
