"Time","debug","error","info","trace","warn"
2025-12-25 09:40:00,55.1 K,,2.27 K,493 K,
2025-12-25 09:50:00,56.8 K,,2.35 K,503 K,
2025-12-25 10:00:00,55.9 K,,2.32 K,495 K,
2025-12-25 10:10:00,56.3 K,,2.33 K,506 K,
2025-12-25 10:20:00,54.7 K,,2.28 K,508 K,
2025-12-25 10:30:00,55.6 K,,2.30 K,511 K,
2025-12-25 10:40:00,57.6 K,,2.38 K,497 K,
2025-12-25 10:50:00,56.7 K,,2.36 K,504 K,
2025-12-25 11:00:00,57.4 K,,2.36 K,495 K,
2025-12-25 11:10:00,55.7 K,,2.29 K,497 K,
2025-12-25 11:20:00,57.0 K,1,2.32 K,479 K,2
2025-12-25 11:30:00,56.1 K,,2.31 K,494 K,
2025-12-25 11:40:00,57.4 K,,2.33 K,470 K,
2025-12-25 11:50:00,56.5 K,,2.34 K,507 K,
2025-12-25 12:00:00,56.0 K,,2.28 K,482 K,
2025-12-25 12:10:00,58.3 K,,2.41 K,495 K,
2025-12-25 12:20:00,56.1 K,,2.31 K,493 K,
2025-12-25 12:30:00,57.4 K,,2.36 K,495 K,
2025-12-25 12:40:00,56.1 K,,2.31 K,487 K,
2025-12-25 12:50:00,56.9 K,,2.36 K,496 K,
2025-12-25 13:00:00,56.7 K,,2.33 K,483 K,
2025-12-25 13:10:00,56.5 K,,2.34 K,500 K,
2025-12-25 13:20:00,56.9 K,,2.35 K,494 K,
2025-12-25 13:30:00,54.9 K,,2.27 K,500 K,
2025-12-25 13:40:00,58.1 K,,2.37 K,483 K,
2025-12-25 13:50:00,56.7 K,,2.35 K,504 K,
2025-12-25 14:00:00,57.5 K,,2.35 K,478 K,
2025-12-25 14:10:00,56.6 K,,2.33 K,484 K,
2025-12-25 14:20:00,55.9 K,,2.31 K,504 K,
2025-12-25 14:30:00,57.1 K,,2.36 K,493 K,
2025-12-25 14:40:00,57.8 K,,2.38 K,483 K,
2025-12-25 14:50:00,57.6 K,,2.36 K,483 K,
2025-12-25 15:00:00,55.4 K,,2.29 K,498 K,
2025-12-25 15:10:00,57.5 K,,2.35 K,482 K,
2025-12-25 15:20:00,57.4 K,,2.36 K,486 K,
2025-12-25 15:30:00,57.6 K,,2.38 K,483 K,
2025-12-25 15:40:00,55.3 K,,2.30 K,514 K,
2025-12-25 15:50:00,55.8 K,,2.31 K,495 K,
2025-12-25 16:00:00,56.6 K,,2.35 K,510 K,
2025-12-25 16:10:00,56.2 K,1,2.34 K,495 K,
2025-12-25 16:20:00,57.0 K,,2.37 K,504 K,
2025-12-25 16:30:00,54.0 K,1,2.25 K,511 K,
2025-12-25 16:40:00,56.6 K,,2.37 K,515 K,
2025-12-25 16:50:00,55.6 K,,2.29 K,491 K,
2025-12-25 17:00:00,56.3 K,,2.32 K,497 K,
2025-12-25 17:10:00,56.4 K,,2.33 K,501 K,
2025-12-25 17:20:00,55.2 K,,2.29 K,508 K,
2025-12-25 17:30:00,57.4 K,,2.35 K,492 K,
2025-12-25 17:40:00,55.6 K,,2.31 K,505 K,
2025-12-25 17:50:00,56.7 K,,2.33 K,498 K,
2025-12-25 18:00:00,56.0 K,,2.28 K,482 K,
2025-12-25 18:10:00,56.4 K,,2.33 K,491 K,
2025-12-25 18:20:00,56.5 K,1,2.31 K,478 K,2
2025-12-25 18:30:00,56.5 K,,2.33 K,504 K,
2025-12-25 18:40:00,56.7 K,,2.36 K,506 K,
2025-12-25 18:50:00,55.2 K,,2.29 K,502 K,
2025-12-25 19:00:00,57.6 K,,2.39 K,496 K,
2025-12-25 19:10:00,57.6 K,,2.36 K,476 K,
2025-12-25 19:20:00,57.6 K,1,2.37 K,469 K,
2025-12-25 19:30:00,55.9 K,,2.32 K,492 K,
2025-12-25 19:40:00,56.1 K,,2.32 K,493 K,
2025-12-25 19:50:00,57.9 K,,2.36 K,471 K,
2025-12-25 20:00:00,57.1 K,,2.36 K,492 K,
2025-12-25 20:10:00,58.1 K,,2.40 K,484 K,
2025-12-25 20:20:00,55.3 K,,2.28 K,484 K,
2025-12-25 20:30:00,57.8 K,,2.39 K,494 K,
2025-12-25 20:40:00,57.8 K,,2.38 K,483 K,
2025-12-25 20:50:00,57.5 K,,2.36 K,472 K,
2025-12-25 21:00:00,55.9 K,,2.30 K,493 K,
2025-12-25 21:10:00,56.2 K,,2.33 K,493 K,
2025-12-25 21:20:00,57.6 K,,2.38 K,494 K,
2025-12-25 21:30:00,56.4 K,1,2.32 K,496 K,
2025-12-25 21:40:00,57.1 K,1,2.35 K,491 K,2
2025-12-25 21:50:00,54.6 K,,2.28 K,510 K,
2025-12-25 22:00:00,56.5 K,,2.34 K,502 K,
2025-12-25 22:10:00,57.2 K,,2.32 K,460 K,
2025-12-25 22:20:00,57.6 K,,2.37 K,480 K,
2025-12-25 22:30:00,55.8 K,,2.32 K,497 K,
2025-12-25 22:40:00,57.1 K,,2.35 K,468 K,
2025-12-25 22:50:00,58.4 K,,2.42 K,472 K,
2025-12-25 23:00:00,57.5 K,,2.36 K,477 K,
2025-12-25 23:10:00,57.6 K,,2.39 K,496 K,
2025-12-25 23:20:00,55.2 K,,2.26 K,484 K,
2025-12-25 23:30:00,57.7 K,,2.35 K,478 K,
2025-12-25 23:40:00,56.7 K,,2.34 K,491 K,
2025-12-25 23:50:00,57.9 K,,2.37 K,482 K,
2025-12-26 00:00:00,56.1 K,,2.30 K,479 K,
2025-12-26 00:10:00,57.0 K,,2.33 K,468 K,
2025-12-26 00:20:00,58.4 K,,2.42 K,483 K,
2025-12-26 00:30:00,58.2 K,,2.38 K,470 K,
2025-12-26 00:40:00,57.9 K,1,2.34 K,451 K,2
2025-12-26 00:50:00,55.8 K,,2.30 K,478 K,
2025-12-26 01:00:00,58.7 K,,2.41 K,466 K,
2025-12-26 01:10:00,57.6 K,,2.36 K,477 K,
2025-12-26 01:20:00,58.0 K,,2.37 K,464 K,
2025-12-26 01:30:00,56.8 K,,2.33 K,468 K,
2025-12-26 01:40:00,58.1 K,,2.38 K,467 K,
2025-12-26 01:50:00,57.7 K,,2.37 K,474 K,
2025-12-26 02:00:00,58.1 K,,2.37 K,464 K,
2025-12-26 02:10:00,57.6 K,,2.38 K,483 K,
2025-12-26 02:20:00,56.4 K,,2.33 K,479 K,
2025-12-26 02:30:00,59.1 K,,2.41 K,462 K,
2025-12-26 02:40:00,56.9 K,,2.34 K,479 K,
2025-12-26 02:50:00,58.7 K,,2.40 K,471 K,
2025-12-26 03:00:00,56 K,,2.31 K,483 K,
2025-12-26 03:10:00,58.2 K,,2.40 K,480 K,
2025-12-26 03:20:00,57.2 K,,2.34 K,473 K,
2025-12-26 03:30:00,58.4 K,,2.39 K,466 K,
2025-12-26 03:40:00,56.3 K,,2.32 K,479 K,
2025-12-26 03:50:00,56.9 K,,2.35 K,479 K,
2025-12-26 04:00:00,59.1 K,,2.42 K,468 K,
2025-12-26 04:10:00,57.1 K,,2.33 K,463 K,
2025-12-26 04:20:00,58.5 K,,2.41 K,479 K,
2025-12-26 04:30:00,56.0 K,,2.29 K,469 K,
2025-12-26 04:40:00,58.5 K,,2.39 K,467 K,
2025-12-26 04:50:00,57.7 K,,2.38 K,488 K,
2025-12-26 05:00:00,57.5 K,,2.36 K,480 K,
2025-12-26 05:10:00,56.2 K,,2.31 K,475 K,
2025-12-26 05:20:00,57.2 K,,2.34 K,472 K,
2025-12-26 05:30:00,57.9 K,,2.39 K,481 K,
2025-12-26 05:40:00,57.6 K,,2.37 K,476 K,
2025-12-26 05:50:00,57.9 K,,2.38 K,481 K,
2025-12-26 06:00:00,55.8 K,,2.31 K,482 K,
2025-12-26 06:10:00,58.1 K,1,2.37 K,471 K,2
2025-12-26 06:20:00,57.7 K,,2.37 K,477 K,
2025-12-26 06:30:00,58.2 K,,2.38 K,473 K,
2025-12-26 06:40:00,56.2 K,,2.31 K,474 K,
2025-12-26 06:50:00,57.5 K,,2.37 K,472 K,
2025-12-26 07:00:00,58.1 K,,2.38 K,469 K,
2025-12-26 07:10:00,56.9 K,,2.37 K,499 K,
2025-12-26 07:20:00,58.4 K,,2.41 K,479 K,
2025-12-26 07:30:00,55.6 K,,2.27 K,478 K,
2025-12-26 07:40:00,58.5 K,,2.39 K,481 K,
2025-12-26 07:50:00,57.0 K,,2.33 K,478 K,
2025-12-26 08:00:00,57.8 K,,2.38 K,486 K,
2025-12-26 08:10:00,55.9 K,,2.31 K,484 K,
2025-12-26 08:20:00,57.3 K,,2.36 K,480 K,
2025-12-26 08:30:00,56.6 K,,2.33 K,479 K,
2025-12-26 08:40:00,57.1 K,,2.36 K,480 K,
2025-12-26 08:50:00,57.2 K,,2.34 K,479 K,
2025-12-26 09:00:00,56.3 K,,2.31 K,481 K,
2025-12-26 09:10:00,57.0 K,,2.38 K,516 K,
2025-12-26 09:20:00,56.8 K,,2.34 K,483 K,
2025-12-26 09:30:00,56.6 K,,2.33 K,499 K,
2025-12-26 09:40:00,55.3 K,,2.28 K,500 K,
2025-12-26 09:50:00,55.7 K,,2.30 K,502 K,
2025-12-26 10:00:00,57.3 K,,2.33 K,473 K,
2025-12-26 10:10:00,57.2 K,,2.36 K,483 K,
2025-12-26 10:20:00,57.5 K,,2.38 K,489 K,
2025-12-26 10:30:00,54.5 K,,2.26 K,504 K,
2025-12-26 10:40:00,57.4 K,,2.35 K,481 K,
2025-12-26 10:50:00,57.4 K,,2.36 K,487 K,
2025-12-26 11:00:00,57.0 K,1,2.32 K,483 K,2
2025-12-26 11:10:00,55.7 K,,2.27 K,478 K,
2025-12-26 11:20:00,56.6 K,,2.33 K,483 K,
2025-12-26 11:30:00,57.5 K,,2.38 K,487 K,
2025-12-26 11:40:00,57.0 K,,2.35 K,480 K,
2025-12-26 11:50:00,57.3 K,,2.38 K,499 K,
2025-12-26 12:00:00,55.2 K,,2.27 K,481 K,
2025-12-26 12:10:00,57.5 K,,2.38 K,494 K,
2025-12-26 12:20:00,57.3 K,,2.35 K,481 K,
2025-12-26 12:30:00,57.4 K,,2.37 K,498 K,
2025-12-26 12:40:00,55.7 K,,2.28 K,478 K,
2025-12-26 12:50:00,56.2 K,,2.30 K,484 K,
2025-12-26 13:00:00,58.4 K,,2.41 K,482 K,
2025-12-26 13:10:00,57.6 K,,2.36 K,474 K,
2025-12-26 13:20:00,58.1 K,,2.40 K,483 K,
2025-12-26 13:30:00,55.4 K,,2.29 K,490 K,
2025-12-26 13:40:00,57.9 K,,2.37 K,486 K,
2025-12-26 13:50:00,56.6 K,,2.34 K,508 K,
2025-12-26 14:00:00,57.0 K,,2.33 K,488 K,
2025-12-26 14:10:00,55.7 K,,2.30 K,490 K,
2025-12-26 14:20:00,56.6 K,,2.32 K,468 K,
2025-12-26 14:30:00,57.5 K,,2.38 K,496 K,
2025-12-26 14:40:00,57.1 K,,2.33 K,465 K,
2025-12-26 14:50:00,57.0 K,,2.36 K,492 K,
2025-12-26 15:00:00,64.6 K,44,2.80 K,827 K,9
2025-12-26 15:10:00,71.1 K,,3.93 K,1.26 Mil,
2025-12-26 15:20:00,69.5 K,,3.78 K,1.36 Mil,
2025-12-26 15:30:00,66.5 K,,3.55 K,1.37 Mil,
2025-12-26 15:40:00,68.2 K,1,3.58 K,1.37 Mil,2
2025-12-26 15:50:00,67.0 K,,3.55 K,1.37 Mil,
2025-12-26 16:00:00,68.5 K,2,3.60 K,1.29 Mil,8
2025-12-26 16:10:00,88.7 K,1,5.31 K,953 K,2
2025-12-26 16:20:00,79.7 K,,4.61 K,1.13 Mil,2
2025-12-26 16:30:00,69.3 K,,3.62 K,1.36 Mil,
2025-12-26 16:40:00,66.1 K,1,3.53 K,1.34 Mil,2
2025-12-26 16:50:00,70.2 K,,3.81 K,1.30 Mil,
2025-12-26 17:00:00,87.1 K,,5.26 K,979 K,
2025-12-26 17:10:00,87.5 K,,5.27 K,953 K,2
2025-12-26 17:20:00,74.7 K,,4.18 K,1.20 Mil,2
2025-12-26 17:30:00,66.1 K,,3.47 K,1.39 Mil,
2025-12-26 17:40:00,72.0 K,,4.04 K,1.26 Mil,
2025-12-26 17:50:00,87.2 K,,5.32 K,992 K,
2025-12-26 18:00:00,88.4 K,,5.33 K,955 K,2
2025-12-26 18:10:00,83.5 K,,4.95 K,1.06 Mil,
2025-12-26 18:20:00,65.6 K,,3.48 K,1.38 Mil,
2025-12-26 18:30:00,83.9 K,,4.97 K,1.07 Mil,
2025-12-26 18:40:00,88.6 K,,5.37 K,939 K,2
2025-12-26 18:50:00,87.7 K,,5.32 K,954 K,2
2025-12-26 19:00:00,80.0 K,,4.58 K,1.11 Mil,2
2025-12-26 19:10:00,77.8 K,,4.43 K,1.17 Mil,2
2025-12-26 19:20:00,89.3 K,,5.42 K,950 K,
2025-12-26 19:30:00,87.9 K,,5.32 K,951 K,2
2025-12-26 19:40:00,88.6 K,1,5.33 K,933 K,2
2025-12-26 19:50:00,73.1 K,,4.11 K,1.23 Mil,
2025-12-26 20:00:00,91.1 K,,5.45 K,921 K,
2025-12-26 20:10:00,89.5 K,,5.35 K,910 K,2
2025-12-26 20:20:00,90.9 K,,5.45 K,920 K,
2025-12-26 20:30:00,81.0 K,,4.72 K,1.06 Mil,2
2025-12-26 20:40:00,87.3 K,,5.21 K,936 K,4
2025-12-26 20:50:00,89.2 K,,5.38 K,933 K,2
2025-12-26 21:00:00,88.7 K,1,5.32 K,905 K,4
2025-12-26 21:10:00,79.8 K,1,4.66 K,1.03 Mil,4
2025-12-26 21:20:00,85.0 K,1,4.97 K,969 K,2
2025-12-26 21:30:00,84.6 K,,5.00 K,935 K,4
2025-12-26 21:40:00,86.4 K,,5.15 K,923 K,
2025-12-26 21:50:00,88.0 K,,5.34 K,949 K,
2025-12-26 22:00:00,82.6 K,1,4.87 K,1.01 Mil,2
2025-12-26 22:10:00,86.7 K,1,5.14 K,940 K,2
2025-12-26 22:20:00,88.3 K,,5.27 K,912 K,
2025-12-26 22:30:00,87.8 K,,5.29 K,953 K,2
2025-12-26 22:40:00,80.4 K,,4.76 K,1.06 Mil,
2025-12-26 22:50:00,86.9 K,,5.24 K,972 K,
2025-12-26 23:00:00,88.7 K,,5.30 K,924 K,
2025-12-26 23:10:00,88.5 K,,5.34 K,946 K,
2025-12-26 23:20:00,85.2 K,,5.20 K,974 K,
2025-12-26 23:30:00,88.7 K,1,5.32 K,944 K,2
2025-12-26 23:40:00,86.7 K,,5.17 K,948 K,2
2025-12-26 23:50:00,85.5 K,1,5.12 K,934 K,10
2025-12-27 00:00:00,87.0 K,,5.33 K,955 K,
2025-12-27 00:10:00,88.5 K,,5.31 K,942 K,
2025-12-27 00:20:00,86.9 K,,5.21 K,945 K,2
2025-12-27 00:30:00,88.4 K,,5.34 K,944 K,
2025-12-27 00:40:00,87.4 K,,5.31 K,967 K,2
2025-12-27 00:50:00,85.4 K,,5.13 K,977 K,2
2025-12-27 01:00:00,88.5 K,,5.32 K,933 K,4
2025-12-27 01:10:00,88.2 K,,5.33 K,940 K,
2025-12-27 01:20:00,86.5 K,,5.25 K,982 K,
2025-12-27 01:30:00,86.0 K,,5.19 K,979 K,
2025-12-27 01:40:00,89.2 K,,5.41 K,965 K,
2025-12-27 01:50:00,87.9 K,,5.32 K,951 K,
2025-12-27 02:00:00,89.2 K,,5.35 K,918 K,2
2025-12-27 02:10:00,83.3 K,1,5.04 K,985 K,4
2025-12-27 02:20:00,86.1 K,,5.26 K,985 K,
2025-12-27 02:30:00,87.4 K,1,5.24 K,959 K,2
2025-12-27 02:40:00,86.1 K,,5.24 K,976 K,2
2025-12-27 02:50:00,85.3 K,1,5.17 K,946 K,2
2025-12-27 03:00:00,88.9 K,1,5.39 K,963 K,2
2025-12-27 03:10:00,86.1 K,1,5.24 K,976 K,2
2025-12-27 03:20:00,86.7 K,,5.26 K,964 K,
2025-12-27 03:30:00,85.6 K,,5.10 K,959 K,2
2025-12-27 03:40:00,87.0 K,,5.18 K,932 K,2
2025-12-27 03:50:00,87.4 K,,5.21 K,930 K,
2025-12-27 04:00:00,86.4 K,1,5.18 K,947 K,4
2025-12-27 04:10:00,87.9 K,,5.32 K,946 K,2
2025-12-27 04:20:00,83.8 K,2,5.06 K,951 K,6
2025-12-27 04:30:00,88.7 K,,5.30 K,957 K,
2025-12-27 04:40:00,88.9 K,,5.31 K,919 K,
2025-12-27 04:50:00,88.2 K,1,5.31 K,949 K,2
2025-12-27 05:00:00,83.3 K,1,5.01 K,1.00 Mil,2
2025-12-27 05:10:00,85.7 K,,5.23 K,992 K,
2025-12-27 05:20:00,88.6 K,,5.33 K,936 K,2
2025-12-27 05:30:00,89.1 K,,5.38 K,935 K,2
2025-12-27 05:40:00,84.2 K,,5.04 K,979 K,2
2025-12-27 05:50:00,88.6 K,1,5.30 K,944 K,2
2025-12-27 06:00:00,88.5 K,,5.30 K,935 K,2
2025-12-27 06:10:00,88.5 K,1,5.31 K,928 K,4
2025-12-27 06:20:00,86.6 K,,5.18 K,936 K,2
2025-12-27 06:30:00,89.9 K,,5.32 K,905 K,2
2025-12-27 06:40:00,88.1 K,,5.22 K,910 K,
2025-12-27 06:50:00,88.9 K,2,5.21 K,887 K,4
2025-12-27 07:00:00,87.4 K,,5.19 K,903 K,
2025-12-27 07:10:00,89.5 K,,5.33 K,923 K,4
2025-12-27 07:20:00,88.4 K,,5.33 K,962 K,
2025-12-27 07:30:00,89.5 K,,5.34 K,912 K,2
2025-12-27 07:40:00,85.5 K,,5.22 K,954 K,2
2025-12-27 07:50:00,85.2 K,1,5.06 K,1.02 Mil,2
2025-12-27 08:00:00,86.8 K,1,5.27 K,959 K,2
2025-12-27 08:10:00,87.7 K,1,5.29 K,938 K,2
2025-12-27 08:20:00,89.6 K,3,5.33 K,896 K,6
2025-12-27 08:30:00,91.3 K,,5.45 K,930 K,
2025-12-27 08:40:00,90.9 K,1,5.42 K,914 K,4
2025-12-27 08:50:00,90.8 K,,5.45 K,919 K,
2025-12-27 09:00:00,89.8 K,,5.40 K,925 K,
2025-12-27 09:10:00,88.4 K,,5.28 K,960 K,
2025-12-27 09:20:00,88.2 K,,5.32 K,950 K,
2025-12-27 09:30:00,88.8 K,,5.36 K,941 K,
2025-12-27 09:40:00,87.9 K,,5.32 K,935 K,2
2025-12-27 09:50:00,85.3 K,,5.07 K,1.03 Mil,2
2025-12-27 10:00:00,88.8 K,,5.35 K,938 K,
2025-12-27 10:10:00,90.8 K,,5.43 K,900 K,
2025-12-27 10:20:00,89.3 K,,5.38 K,920 K,2
2025-12-27 10:30:00,90.5 K,,5.45 K,922 K,
2025-12-27 10:40:00,90.9 K,,5.41 K,904 K,
2025-12-27 10:50:00,89.3 K,,5.40 K,926 K,
2025-12-27 11:00:00,88.5 K,,5.35 K,946 K,2
2025-12-27 11:10:00,91.2 K,,5.42 K,919 K,
2025-12-27 11:20:00,89.4 K,,5.33 K,903 K,6
2025-12-27 11:30:00,89.5 K,,5.39 K,931 K,
2025-12-27 11:40:00,87.9 K,,5.31 K,946 K,
2025-12-27 11:50:00,90.0 K,2,5.35 K,930 K,4
2025-12-27 12:00:00,88.1 K,,5.28 K,953 K,
2025-12-27 12:10:00,89.1 K,,5.33 K,928 K,
2025-12-27 12:20:00,89.2 K,,5.29 K,925 K,2
2025-12-27 12:30:00,90.0 K,,5.38 K,921 K,
2025-12-27 12:40:00,91.2 K,,5.40 K,895 K,
2025-12-27 12:50:00,90.3 K,,5.45 K,913 K,
2025-12-27 13:00:00,89.2 K,,5.42 K,931 K,
2025-12-27 13:10:00,90.2 K,,5.36 K,937 K,
2025-12-27 13:20:00,90.4 K,,5.47 K,930 K,
2025-12-27 13:30:00,90.5 K,,5.47 K,917 K,
2025-12-27 13:40:00,89.3 K,,5.43 K,931 K,2
2025-12-27 13:50:00,90.7 K,,5.47 K,949 K,
2025-12-27 14:00:00,89.0 K,1,5.34 K,913 K,2
2025-12-27 14:10:00,91.1 K,,5.44 K,903 K,2
2025-12-27 14:20:00,87.8 K,,5.36 K,942 K,
2025-12-27 14:30:00,91.4 K,,5.44 K,909 K,2
2025-12-27 14:40:00,91.0 K,,5.40 K,916 K,
2025-12-27 14:50:00,90.1 K,,5.34 K,918 K,2
2025-12-27 15:00:00,90.8 K,,5.49 K,901 K,
2025-12-27 15:10:00,90.6 K,,5.35 K,906 K,4
2025-12-27 15:20:00,91.1 K,,5.43 K,904 K,
2025-12-27 15:30:00,90.5 K,,5.40 K,900 K,
2025-12-27 15:40:00,86.2 K,,5.15 K,947 K,
2025-12-27 15:50:00,90.1 K,,5.35 K,928 K,2
2025-12-27 16:00:00,89.4 K,,5.32 K,915 K,
2025-12-27 16:10:00,89.5 K,,5.29 K,881 K,2
2025-12-27 16:20:00,88.1 K,,5.29 K,922 K,
2025-12-27 16:30:00,90.8 K,,5.34 K,863 K,4
2025-12-27 16:40:00,90.0 K,,5.36 K,898 K,2
2025-12-27 16:50:00,91.0 K,,5.44 K,894 K,
2025-12-27 17:00:00,85.7 K,,5.05 K,939 K,
2025-12-27 17:10:00,88.5 K,1,5.26 K,943 K,2
2025-12-27 17:20:00,89.8 K,,5.31 K,882 K,4
2025-12-27 17:30:00,92.3 K,,5.54 K,902 K,
2025-12-27 17:40:00,89.0 K,,5.35 K,939 K,
2025-12-27 17:50:00,89.9 K,4,5.32 K,907 K,8
2025-12-27 18:00:00,90.3 K,,5.41 K,901 K,
2025-12-27 18:10:00,90.9 K,,5.43 K,917 K,
2025-12-27 18:20:00,89.0 K,,5.38 K,931 K,
2025-12-27 18:30:00,91.9 K,4,5.43 K,895 K,7
2025-12-27 18:40:00,90.5 K,1,5.31 K,908 K,2
2025-12-27 18:50:00,89.4 K,1,5.29 K,895 K,2
2025-12-27 19:00:00,88.6 K,,5.31 K,911 K,
2025-12-27 19:10:00,90.8 K,,5.47 K,922 K,
2025-12-27 19:20:00,89.3 K,1,5.29 K,903 K,2
2025-12-27 19:30:00,89.2 K,,5.37 K,933 K,
2025-12-27 19:40:00,85.4 K,1,5.23 K,981 K,
2025-12-27 19:50:00,89.9 K,2,5.37 K,905 K,10
2025-12-27 20:00:00,89.8 K,3,5.42 K,911 K,3
2025-12-27 20:10:00,89.0 K,,5.33 K,896 K,
2025-12-27 20:20:00,83.5 K,1,4.92 K,935 K,4
2025-12-27 20:30:00,89.2 K,,5.32 K,905 K,
2025-12-27 20:40:00,88.0 K,,5.20 K,909 K,
2025-12-27 20:50:00,89.6 K,,5.25 K,858 K,
2025-12-27 21:00:00,87.5 K,1,5.13 K,863 K,2
2025-12-27 21:10:00,88.4 K,,5.20 K,909 K,2
2025-12-27 21:20:00,86.9 K,,5.21 K,949 K,
2025-12-27 21:30:00,86.6 K,,5.20 K,935 K,2
2025-12-27 21:40:00,88.0 K,,5.40 K,968 K,
2025-12-27 21:50:00,86.5 K,,5.31 K,976 K,
2025-12-27 22:00:00,88.7 K,,5.33 K,915 K,
2025-12-27 22:10:00,89.6 K,,5.34 K,883 K,
2025-12-27 22:20:00,89.3 K,,5.32 K,907 K,2
2025-12-27 22:30:00,83.1 K,,4.88 K,1.00 Mil,2
2025-12-27 22:40:00,90.9 K,,5.31 K,863 K,4
2025-12-27 22:50:00,85.0 K,,5.00 K,807 K,
2025-12-27 23:00:00,87.4 K,,5.21 K,808 K,2
2025-12-27 23:10:00,48.3 K,,2.59 K,473 K,2
