"Time","worker6 (jan-apple-m4-pro) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (jan-apple-m4-pro) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (jan-apple-m4-pro) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","worker6 (jan-apple-m4-pro) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker6 (jan-apple-m4-pro) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (leo_m4_pro) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (leo_m4_pro) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (leo_m4_pro) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","worker4 (leo_m4_pro) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker4 (leo_m4_pro) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker5 (orlando_apple_m3_pro) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker5 (orlando_apple_m3_pro) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker5 (orlando_apple_m3_pro) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker5 (orlando_apple_m3_pro) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker5 (orlando_apple_m3_pro) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","scheduler (yorizon) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker2 (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker2 (yorizon) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker2 (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker2 (yorizon) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","worker2 (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-08 17:04:00,38.2 ms,32.4 ms,33.0 ms,32.8 ms,20.2 ms,48.2 ms,33.1 ms,36.4 ms,50.5 ms,11.3 ms,40.8 ms,34.5 ms,28.6 ms,35.2 ms,20.9 ms,42.9 ms,33.4 ms,35.5 ms,0.128 ms,12.4 ms,43.9 ms,0.0863 ms,32.5 ms,33.5 ms,12.5 ms
2026-01-08 17:05:00,34.6 ms,34.6 ms,28.8 ms,33.3 ms,20.6 ms,48.2 ms,36.3 ms,38.0 ms,52.7 ms,9.85 ms,40.0 ms,33.9 ms,25.8 ms,36.9 ms,23.1 ms,49.9 ms,33.1 ms,33.6 ms,0.0969 ms,12.1 ms,54.9 ms,0.0816 ms,32.7 ms,33.8 ms,12.3 ms
2026-01-08 17:06:00,36.7 ms,36.2 ms,29.9 ms,32.3 ms,21.0 ms,51.2 ms,35.7 ms,38.4 ms,57.7 ms,12.2 ms,37.0 ms,33.6 ms,25.1 ms,35.4 ms,23.4 ms,53.9 ms,35.4 ms,39.5 ms,0.0951 ms,12.4 ms,34.9 ms,0.106 ms,33.1 ms,36.2 ms,12.3 ms
2026-01-08 17:07:00,37.7 ms,33.8 ms,29.7 ms,32.2 ms,20.3 ms,48.1 ms,36.8 ms,39.4 ms,53.0 ms,9.23 ms,36.8 ms,33.8 ms,24.9 ms,35.0 ms,21.3 ms,41.1 ms,34.9 ms,33.5 ms,0.139 ms,12.1 ms,59.9 ms,0.127 ms,31.4 ms,34.8 ms,12.3 ms
2026-01-08 17:08:00,34.1 ms,34.6 ms,30.5 ms,33.0 ms,19.7 ms,56.9 ms,36.3 ms,41.6 ms,59.9 ms,11.9 ms,36.7 ms,33.6 ms,24.8 ms,33.6 ms,23.4 ms,61.8 ms,34.4 ms,34.2 ms,0.140 ms,12.1 ms,51.0 ms,0.157 ms,32.4 ms,36.3 ms,12.4 ms
2026-01-08 17:09:00,33.5 ms,33.6 ms,27.7 ms,33.9 ms,21.1 ms,48.4 ms,35.6 ms,41.3 ms,55.5 ms,8.78 ms,45.2 ms,35.5 ms,24.5 ms,33.7 ms,20.0 ms,55.9 ms,34.2 ms,34.5 ms,0.0794 ms,12.1 ms,59.9 ms,0.223 ms,45.8 ms,35.0 ms,12.3 ms
2026-01-08 17:10:00,38.2 ms,33.1 ms,26.7 ms,33.2 ms,21.7 ms,45.4 ms,36.6 ms,39.0 ms,58.6 ms,9.63 ms,41.9 ms,37.6 ms,28.9 ms,33.4 ms,21.8 ms,50.9 ms,33.6 ms,35.0 ms,0.125 ms,12.2 ms,57.9 ms,0.125 ms,35.0 ms,34.0 ms,12.3 ms
2026-01-08 17:11:00,34.3 ms,33.3 ms,26.2 ms,33.3 ms,23.2 ms,36.8 ms,35.5 ms,38.2 ms,53.8 ms,8.97 ms,37.7 ms,35.4 ms,25.9 ms,34.4 ms,20.7 ms,43.9 ms,33.5 ms,36.1 ms,0.101 ms,12.1 ms,48.9 ms,0.0910 ms,34.1 ms,34.3 ms,12.3 ms
2026-01-08 17:12:00,36.9 ms,33.3 ms,26.1 ms,33.6 ms,19.8 ms,47.7 ms,37.0 ms,41.0 ms,52.5 ms,10.1 ms,37.6 ms,34.9 ms,27.0 ms,33.7 ms,20.2 ms,55.9 ms,33.9 ms,35.8 ms,0.0764 ms,12.1 ms,37.9 ms,0.0762 ms,33.2 ms,36.5 ms,12.3 ms
2026-01-08 17:13:00,37.3 ms,34.3 ms,29.8 ms,33.3 ms,20.8 ms,47.7 ms,40.8 ms,41.4 ms,42.2 ms,11.7 ms,43.3 ms,35.2 ms,29.6 ms,35.0 ms,25.5 ms,55.9 ms,33.9 ms,35.8 ms,0.0764 ms,12.1 ms,58.9 ms,0.0762 ms,33.1 ms,34.7 ms,12.3 ms
2026-01-08 17:14:00,38.9 ms,34.3 ms,29.0 ms,35.6 ms,21.5 ms,47.7 ms,36.3 ms,39.9 ms,41.9 ms,9.93 ms,39.2 ms,35.2 ms,29.2 ms,35.6 ms,24.1 ms,55.9 ms,33.9 ms,35.8 ms,0.0764 ms,12.1 ms,48.9 ms,0.0762 ms,33.6 ms,36.0 ms,12.5 ms
2026-01-08 17:15:00,35.5 ms,34.3 ms,28.5 ms,34.2 ms,22.7 ms,47.7 ms,35.7 ms,40.1 ms,50.6 ms,9.37 ms,40.0 ms,35.2 ms,28.1 ms,35.2 ms,22.5 ms,55.9 ms,33.9 ms,35.8 ms,0.0764 ms,12.1 ms,58.9 ms,0.0762 ms,39.6 ms,36.3 ms,12.4 ms
2026-01-08 17:16:00,36.0 ms,34.3 ms,28.2 ms,34.3 ms,23.2 ms,47.7 ms,36.3 ms,39.0 ms,48.6 ms,10.6 ms,41.7 ms,35.2 ms,29.2 ms,35.5 ms,23.6 ms,55.9 ms,33.9 ms,35.8 ms,0.0764 ms,12.1 ms,57.9 ms,0.0762 ms,36.1 ms,36.3 ms,12.4 ms
